samples	cluster	lat	long	geo	Lineage
ECA2623	A	12.17453	-61.62731	Caribbean	Tropical
ECA2664	A	12.17453	-61.62731	Caribbean	Tropical
NIC115	A	16.0207	-61.597	Caribbean	Tropical
NIC123	A	16.1779	-61.6563	Caribbean	Tropical
NIC549	A	15.56923	-61.3744	Caribbean	Tropical
NIC574	A	15.47461	-61.29876	Caribbean	Tropical
NIC593	A	15.4071	-61.3453	Caribbean	Tropical
QG3815	A	10.42361667	-84.00118611	Central America	Tropical
QG3825	A	10.43026	-84.00905	Central America	Tropical
QG3837	A	10.42540556	-84.00121667	Central America	Tropical
QG3875	A	10.44027	-84.01227	Central America	Tropical
QG3878	A	10.25937	-84.00514	Central America	Tropical
NIC117	A	16.1779	-61.6563	Caribbean	Tropical
QG3861	A	10.42972	-84.00742	Central America	Tropical
NIC250	A	16.0207	-61.597	Caribbean	Tropical
NIC119	A	16.1779	-61.6563	Caribbean	Tropical
NIC248	A	15.853547	-61.631073	Caribbean	Tropical
NIC191	A	16.0455	-61.6938	Caribbean	Tropical
NIC532	A	16.018756	-61.593654	Caribbean	Tropical
BRC20075	B	24.790015	121.374604	Taiwan	TD1
BRC20229	B	23.572084	120.900213	Taiwan	TD1
BRC20232	B	23.60247	120.8838617	Taiwan	TD1
BRC20239	B	23.60095833	120.8821883	Taiwan	TD1
BRC20343	B	24	121	Taiwan	TD1
BRC20347	B	25.121206	121.593578	Taiwan	TD1
BRC20522	B	25.1839015	121.5206295	Taiwan	TD1
BRC20530	B	23.33725	120.712389	Taiwan	TD1
BRC20531	B	23.792667	120.798083	Taiwan	TD1
NIC1540	B	25.05792	121.77076	Taiwan	TD1
NIC1589	B	24.68622	121.13734	Taiwan	TD1
NIC1591	B	24.68622	121.13734	Taiwan	TD1
NIC1593	B	24.68622	121.13734	Taiwan	TD1
NIC1664	B	23.66109	120.7967	Taiwan	TD1
NIC1665	B	23.66654	120.79295	Taiwan	TD1
NIC19	B	25.15219	121.54461	Taiwan	TD1
NIC20	B	24.47058	120.97781	Taiwan	TD1
NIC21	B	24.47605	120.99481	Taiwan	TD1
NIC22	B	24.19177	121.01531	Taiwan	TD1
NIC816	B	23.81417	120.856	Taiwan	TD1
NIC825	B	23.60246	120.88278	Taiwan	TD1
NIC828	B	23.60197	120.88157	Taiwan	TD1
TWN1824	B	24.69027778	121.4055556	Taiwan	TD1
TWN1899	B	25.16666667	121.5166667	Taiwan	TD1
NIC827	B	23.60233	120.88182	Taiwan	TD1
BRC20524	B	25.1839015	121.5206295	Taiwan	TD1
ECA569	C	42.361085	-88.4278679	North America	Temperate
EG4360	C	40.6	-111.8	North America	Temperate
GUN124	C	42.4675	-76.48722222	North America	Temperate
HK104	C	34.66	133.9	Pacific	Temperate
JU1257	C	49.1255	1.951	Cosmopolitan	Temperate
JU1564	C	40.86	-73.47	North America	Temperate
JU2872	C	48.2121	16.3592	Cosmopolitan	Temperate
JU3272	C	50.34886	14.475	Cosmopolitan	Temperate
NIC1632	C	34.88358	135.81659	Pacific	Temperate
NIC1635	C	34.88328	135.81733	Pacific	Temperate
NIC899	C	35.661062	139.684827	Pacific	Temperate
PB857	C	39.784	84.0554	Cosmopolitan	Temperate
QG547	C	40.783	-73.985	North America	Temperate
QX1547	C	35.931125	-84.931125	North America	Temperate
SOW18	C	39.960663	-75.605492	North America	Temperate
JU2536	C	47.645976	19.274783	Europe	Temperate
PB800	C	39.823748	-84.289418	North America	Temperate
BW287	C	NA	NA	unknown	Temperate
QG581	C	45.5423	-74.01235	North America	Temperate
BRC20388	C	34	135	Pacific	Temperate
SOW22	C	40.006496	-75.703278	North America	Temperate
NIC1633	C	34.88358	135.81659	Pacific	Temperate
QG588	C	41.52503056	-70.67271389	North America	Temperate
NIC174	C	47.1575	7.64673	Cosmopolitan	Temperate
SOW21	C	41.41123603	-78.70870679	North America	Temperate
ECA278	C	42.496411	-88.240099	North America	Temperate
ECA163	D	42.361025	-88.427841	North America	NWD
ECA276	D	42.496411	-88.240099	North America	NWD
ED3102	D	-1.316667	36.8	Africa	NWD
JU2767	D	48.50481	3.246	Cosmopolitan	NWD
BRC20492	E	21.958635	120.811847	Taiwan	TD2
NIC819	E	23.81418	120.85581	Taiwan	TD2
BRC20115	E	24.114	120.8694	Taiwan	TD2
BRC20520	E	21.958778	120.811764	Taiwan	TD2
BRC20519	E	21.958778	120.811764	Taiwan	TD2
BRC20541	E	22.924056	120.543	Taiwan	TD2
NIC1607	E	22.0861	120.84222	Taiwan	TD2
JU2057	F	-12.77	45.14	Africa	Tropical
JU2160	F	-6.2709	39.417	Africa	Tropical
JU2162	F	-6.2715	39.416	Africa	Tropical
JU2470	F	-12.732834	45.186209	Africa	Tropical
JU3237	F	-12.76	45.09	Africa	Tropical
BRC20088	G	25.15533333	121.5465611	Taiwan	TH
BRC20230	G	23.670695	120.798589	Taiwan	TH
BRC20238	G	23.814211	120.856072	Taiwan	TH
