N	eigenvalue	difference	twstat	p-value	effect.n
1	48.909620	NA	163.773	0	92.022
2	20.293881	-28.615739	75.407	1.23804e-191	136.054
3	20.138468	-0.155413	86.779	4.08593e-236	144.453
4	18.695174	-1.443293	89.647	8.09738e-248	155.456
5	16.910884	-1.784291	87.909	1.05879e-240	167.351
6	15.957913	-0.952970	92.097	5.7983e-258	179.077
7	14.420936	-1.536977	88.936	6.75386e-245	192.069
8	13.431532	-0.989404	89.588	1.41768e-247	204.565
9	11.979840	-1.451692	82.269	4.21129e-218	217.495
10	11.305948	-0.673892	82.838	2.38821e-220	228.950
11	10.496041	-0.809907	80.300	2.16669e-210	240.780
12	10.382866	-0.113175	87.987	5.06173e-241	252.265
13	10.307208	-0.075658	97.635	2.1488e-281	265.868
14	9.395910	-0.911299	92.628	3.50455e-260	282.378
15	9.178973	-0.216937	99.358	8.00872e-289	297.890
16	8.963404	-0.215568	106.962	2.2727e-322	315.690
17	7.587632	-1.375772	87.298	3.22609e-238	336.287
18	7.166665	-0.420968	85.599	2.3429e-231	351.557
19	6.820016	-0.346649	84.811	3.37877e-228	366.699
20	5.557703	-1.262312	57.091	6.54706e-127	381.955
21	5.540817	-0.016886	60.999	5.83451e-140	390.743
22	5.315231	-0.225586	58.920	5.78774e-133	400.527
23	5.041044	-0.274188	54.816	1.62313e-119	410.005
24	4.641819	-0.399225	45.952	3.50177e-92	418.734
25	4.627751	-0.014067	48.705	2.05745e-100	425.762
26	4.596393	-0.031358	51.071	1.12512e-107	433.439
27	4.562414	-0.033979	53.501	2.60075e-115	441.717
28	4.455566	-0.106848	53.477	3.09528e-115	450.642
29	4.155306	-0.300260	46.186	7.15534e-93	459.694
30	4.111346	-0.043960	47.660	2.9365e-97	467.304
31	3.993183	-0.118163	46.324	2.79181e-93	475.327
32	3.910204	-0.082980	46.149	9.18526e-93	483.174
33	3.704881	-0.205323	40.915	9.39565e-78	491.088
34	3.602429	-0.102452	39.358	1.81905e-73	498.012
35	3.417715	-0.184714	34.132	1.07295e-59	504.704
36	3.413248	-0.004467	36.156	6.50657e-65	510.448
37	3.402382	-0.010866	38.016	7.77667e-70	516.649
38	3.333726	-0.068656	37.403	3.35183e-68	523.295
39	3.243097	-0.090629	35.689	1.07415e-63	529.894
40	3.206366	-0.036731	36.275	3.18964e-65	536.222
41	3.096934	-0.109432	33.440	6.03545e-58	542.741
42	2.932837	-0.164097	27.727	3.29655e-44	548.762
43	2.883817	-0.049020	27.163	6.34472e-43	553.743
44	2.846762	-0.037055	27.122	7.87225e-43	558.668
45	2.827366	-0.019396	27.931	1.12002e-44	563.633
46	2.780379	-0.046987	27.365	2.20873e-43	568.802
47	2.729427	-0.050952	26.528	1.71559e-41	573.914
48	2.688292	-0.041135	26.121	1.39121e-40	578.916
49	2.661956	-0.026336	26.443	2.65174e-41	583.890
50	2.650890	-0.011066	27.579	7.17257e-44	588.974
51	2.640609	-0.010281	28.803	1.07104e-46	594.330
52	2.621679	-0.018930	29.599	1.43908e-48	599.984
53	2.573122	-0.048557	28.755	1.38133e-46	605.858
54	2.508519	-0.064603	26.911	2.36348e-42	611.620
55	2.456693	-0.051825	25.656	1.48539e-39	617.066
56	2.308333	-0.148360	18.648	3.27889e-25	622.313
57	2.295079	-0.013254	19.226	2.6398e-26	626.267
58	2.293800	-0.001279	20.533	7.62469e-29	630.362
59	2.267725	-0.026074	20.391	1.45157e-28	634.738
60	2.200451	-0.067274	17.697	1.91733e-23	639.126
61	2.190710	-0.009741	18.412	9.10876e-25	643.045
62	2.098648	-0.092062	13.986	5.22894e-17	647.130
63	2.083317	-0.015331	14.191	2.41489e-17	650.440
64	2.046733	-0.036584	13.034	1.76211e-15	653.812
65	2.020312	-0.026422	12.468	1.34349e-14	657.004
66	2.012994	-0.007318	13.112	1.33063e-15	660.120
67	1.995336	-0.017658	13.092	1.43009e-15	663.376
68	1.986368	-0.008968	13.637	1.92723e-16	666.652
69	1.964443	-0.021925	13.326	6.06992e-16	670.054
70	1.943754	-0.020688	13.073	1.52911e-15	673.425
71	1.943128	-0.000627	14.170	2.61565e-17	676.777
72	1.923144	-0.019984	13.968	5.60565e-17	680.357
73	1.918694	-0.004450	14.828	2.10909e-18	683.929
74	1.905207	-0.013487	15.080	7.94879e-19	687.692
75	1.864173	-0.041034	13.368	5.20933e-16	691.534
76	1.857250	-0.006923	14.018	4.64007e-17	695.079
77	1.853820	-0.003430	14.940	1.3671e-18	698.777
78	1.823053	-0.030768	13.887	7.58247e-17	702.683
79	1.821430	-0.001623	14.933	1.40784e-18	706.416
80	1.810924	-0.010505	15.350	2.75948e-19	710.384
81	1.779088	-0.031836	14.161	2.7095e-17	714.467
82	1.776823	-0.002265	15.162	5.76197e-19	718.347
83	1.739300	-0.037523	13.478	3.47303e-16	722.458
84	1.718448	-0.020853	13.003	1.97525e-15	726.266
85	1.704886	-0.013562	13.068	1.55795e-15	730.011
86	1.694379	-0.010506	13.368	5.21021e-16	733.798
87	1.678273	-0.016106	13.221	8.92536e-16	737.675
88	1.637475	-0.040799	11.058	1.74422e-12	741.553
89	1.633685	-0.003789	11.813	1.33729e-13	745.030
90	1.629148	-0.004537	12.528	1.08628e-14	748.684
91	1.612491	-0.016657	12.256	2.84352e-14	752.511
92	1.609571	-0.002921	13.115	1.31283e-15	756.312
93	1.592940	-0.016631	12.839	3.56672e-15	760.320
94	1.585706	-0.007234	13.344	5.6885e-16	764.303
95	1.583770	-0.001936	14.318	1.49582e-17	768.423
96	1.497510	-0.086260	7.969	8.81121e-09	772.783
97	1.486408	-0.011102	7.956	9.20816e-09	775.873
98	1.477940	-0.008468	8.168	1.45353e-08	778.982
99	1.463110	-0.014831	7.812	1.35451e-08	782.156
