N	eigenvalue	difference	twstat	p-value	effect.n
1	46.121272	NA	172.441	0	101.715
2	21.412749	-24.708523	96.943	1.98218e-278	149.613
3	20.095879	-1.316869	104.057	2.09104e-309	163.007
4	16.621636	-3.474243	89.083	1.6746e-245	178.571
5	15.703738	-0.917898	92.894	2.72534e-261	190.619
6	15.394884	-0.308854	103.733	5.67937e-308	203.854
7	13.850258	-1.544626	100.256	1.01334e-292	220.265
8	13.227678	-0.622580	106.426	5.7692e-320	236.100
9	12.683537	-0.544141	114.134	0	254.075
10	11.033295	-1.650242	102.962	1.43191e-304	274.882
11	10.338199	-0.695096	103.562	3.23349e-307	292.806
12	8.855855	-1.482344	86.508	5.09591e-235	311.358
13	8.318189	-0.537666	84.082	2.75318e-225	325.588
14	7.024446	-1.293742	62.976	1.00763e-146	339.496
15	6.993289	-0.031158	67.535	1.00619e-162	348.719
16	6.430306	-0.562983	59.393	1.5214e-134	359.096
17	5.982246	-0.448059	52.653	1.26407e-112	367.881
18	5.907248	-0.074998	54.658	5.21585e-119	375.434
19	5.848722	-0.058526	57.219	2.48709e-127	383.498
20	5.545568	-0.303154	53.089	5.26992e-114	392.214
21	5.187797	-0.357771	46.681	2.44962e-94	400.206
22	4.818849	-0.368947	39.069	1.11318e-72	407.043
23	4.747074	-0.071776	39.593	4.15421e-74	412.567
24	4.527294	-0.219780	35.522	2.91603e-63	418.249
25	4.495020	-0.032274	36.929	6.05539e-67	423.283
26	4.474747	-0.020273	38.789	6.41625e-72	428.619
27	4.319597	-0.155150	36.327	2.32458e-65	434.350
28	4.225246	-0.094351	35.620	1.627e-63	439.705
29	4.018072	-0.207174	30.944	8.66654e-52	444.995
30	3.999784	-0.018288	32.404	2.3232e-55	449.534
31	3.981422	-0.018361	33.932	3.45756e-59	454.369
32	3.645835	-0.335587	24.119	3.23261e-36	459.525
33	3.603189	-0.042646	24.263	1.58726e-36	463.090
34	3.367761	-0.235428	17.247	1.26752e-22	466.711
35	3.318676	-0.049085	16.779	8.7899e-22	469.301
36	3.259984	-0.058692	15.903	3.06751e-20	471.846
37	3.252492	-0.007492	16.929	4.73138e-22	474.285
38	3.218412	-0.034080	16.962	4.13676e-22	476.893
39	3.185609	-0.032802	17.029	3.1299e-22	479.526
40	3.164031	-0.021579	17.529	3.88165e-23	482.192
41	3.088660	-0.075371	15.875	3.43793e-20	484.954
42	3.050314	-0.038346	15.621	9.43942e-20	487.493
43	2.986108	-0.064206	14.274	1.76746e-17	490.017
44	2.944308	-0.041800	13.774	1.15761e-16	492.364
45	2.933983	-0.010325	14.560	5.92804e-18	494.658
46	2.915043	-0.018940	15.005	1.06155e-18	497.085
47	2.869425	-0.045618	14.311	1.53142e-17	499.596
48	2.799980	-0.069445	12.531	1.07674e-14	502.025
49	2.791180	-0.008799	13.314	6.35232e-16	504.213
50	2.775026	-0.016154	13.796	1.06661e-16	506.533
51	2.744813	-0.030214	13.658	1.78488e-16	508.941
52	2.728723	-0.016090	14.140	2.93234e-17	511.348
53	2.683588	-0.045135	13.300	6.67457e-16	513.846
54	2.680189	-0.003399	14.340	1.37304e-17	516.239
55	2.615475	-0.064714	12.545	1.02274e-14	518.806
56	2.603478	-0.011997	13.144	1.18012e-15	521.124
57	2.537796	-0.065682	11.192	1.11386e-12	523.550
58	2.493438	-0.044358	10.164	3.2759e-11	525.703
59	2.485301	-0.008137	10.846	3.54125e-12	527.722
60	2.479000	-0.006301	11.638	2.44203e-13	529.856
61	2.468035	-0.010965	12.224	3.18552e-14	532.124
62	2.443495	-0.024540	12.144	4.22147e-14	534.499
63	2.387586	-0.055909	10.455	1.27882e-11	536.880
64	2.326816	-0.060770	8.427	6.84141e-09	539.023
65	2.284986	-0.041830	7.279	6.26399e-08	540.883
66	2.264672	-0.020315	7.197	7.97268e-08	542.591
67	2.242372	-0.022299	6.998	1.36889e-07	544.299
68	2.214743	-0.027629	6.499	5.28601e-07	545.991
