N	eigenvalue	difference	twstat	p-value	effect.n
1	48.492419	NA	160.874	0	91.621
2	22.036767	-26.455652	85.824	2.92978e-232	133.596
3	20.029325	-2.007442	85.967	7.77358e-233	144.176
4	18.122459	-1.906867	84.404	1.43227e-226	154.988
5	17.094526	-1.027933	88.510	3.70964e-243	165.657
6	16.067681	-1.026844	92.283	9.73247e-259	177.494
7	15.450282	-0.617399	100.317	5.54079e-293	190.502
8	14.406507	-1.043775	103.896	1.0801e-308	205.906
9	11.948936	-2.457571	85.882	1.70876e-232	222.677
10	11.790807	-0.158129	94.848	1.61305e-269	235.085
11	11.474981	-0.315826	102.849	4.54832e-304	250.056
12	9.903116	-1.571866	89.133	1.04595e-245	267.630
13	9.266794	-0.636321	87.612	1.70099e-239	281.837
14	8.701278	-0.565516	86.101	2.2394e-233	295.967
15	8.322897	-0.378381	87.393	1.31909e-238	310.018
16	8.154890	-0.168007	93.081	4.46113e-262	324.720
17	7.865909	-0.288980	96.403	4.02553e-276	341.328
18	7.444838	-0.421071	96.170	3.96304e-275	359.301
19	6.492302	-0.952537	80.059	1.88601e-209	377.641
20	6.236374	-0.255928	79.973	4.05505e-209	391.817
21	5.573224	-0.663150	66.949	1.2317e-160	406.262
22	5.327104	-0.246120	64.531	4.07725e-152	417.656
23	5.009474	-0.317630	59.152	9.71079e-134	428.667
24	4.842728	-0.166745	57.914	1.26614e-129	438.602
25	4.621398	-0.221330	54.442	2.58028e-118	448.411
26	4.589702	-0.031696	57.170	3.59071e-127	457.586
27	4.245896	-0.343806	48.601	4.24727e-100	467.520
28	4.072297	-0.173599	45.352	2.03682e-90	475.690
29	3.885035	-0.187262	41.149	2.10175e-78	483.283
30	3.855294	-0.029741	42.676	1.06032e-82	490.111
31	3.563008	-0.292286	33.712	1.2441e-58	497.336
32	3.455921	-0.107087	31.521	3.44006e-53	502.883
33	3.425252	-0.030669	32.303	4.13688e-55	508.085
34	3.260772	-0.164480	27.438	1.503e-43	513.486
35	3.220853	-0.039919	27.547	8.468e-44	518.058
36	3.218809	-0.002043	29.285	7.91215e-48	522.696
37	3.180693	-0.038116	29.513	2.30227e-48	527.694
38	3.127066	-0.053627	29.024	3.25445e-47	532.784
39	3.059095	-0.067971	27.812	2.10321e-44	537.836
40	3.024630	-0.034465	28.040	6.29792e-45	542.715
41	3.016359	-0.008271	29.485	2.67585e-48	547.685
42	2.966176	-0.050182	28.993	3.83416e-47	552.977
43	2.957275	-0.008902	30.439	1.43406e-50	558.229
44	2.849792	-0.107483	27.091	9.26205e-43	563.814
45	2.826040	-0.023752	27.674	4.34037e-44	568.812
46	2.781908	-0.044131	27.233	4.40157e-43	573.971
47	2.673858	-0.108050	23.443	8.79042e-35	579.096
48	2.588122	-0.085736	20.557	6.84064e-29	583.559
49	2.531857	-0.056265	19.042	5.91049e-26	587.539
50	2.521625	-0.010232	19.885	1.41766e-27	591.286
51	2.448532	-0.073093	17.357	7.98487e-23	595.214
52	2.438140	-0.010392	18.108	3.35518e-24	598.731
53	2.437142	-0.000998	19.400	1.22198e-26	602.409
54	2.413214	-0.023928	19.462	9.2989e-27	606.348
55	2.386663	-0.026551	19.361	1.45296e-26	610.333
56	2.362281	-0.024382	19.361	1.45212e-26	614.334
57	2.278328	-0.083953	15.892	3.20739e-20	618.370
58	2.256123	-0.022205	15.847	3.84572e-20	621.815
59	2.189119	-0.067005	13.134	1.22724e-15	625.281
60	2.178142	-0.010976	13.628	1.99076e-16	628.303
61	2.174798	-0.003344	14.595	5.18909e-18	631.433
62	2.154855	-0.019943	14.582	5.45263e-18	634.756
63	2.118827	-0.036028	13.565	2.52219e-16	638.104
64	2.109648	-0.009179	14.158	2.74092e-17	641.299
65	2.027109	-0.082540	10.156	3.36386e-11	644.624
66	2.024618	-0.002491	11.043	1.83708e-12	647.280
67	1.990125	-0.034493	9.910	7.38422e-11	650.107
68	1.961594	-0.028530	9.104	9.05227e-10	652.761
69	1.952876	-0.008718	9.545	2.32221e-10	655.299
70	1.942554	-0.010322	9.891	7.83565e-11	657.929
71	1.932129	-0.010424	10.235	2.6072e-11	660.638
72	1.894334	-0.037795	8.754	2.59933e-09	663.427
73	1.880680	-0.013654	8.831	2.06631e-09	665.981
74	1.852413	-0.028267	7.908	1.0761e-08	668.566
75	1.823189	-0.029224	6.873	1.92525e-07	671.012
76	1.819785	-0.003404	7.576	2.68816e-08	673.300
77	1.816091	-0.003693	8.279	1.05463e-08	675.723
78	1.807979	-0.008112	8.691	3.13848e-09	678.285
79	1.761456	-0.046523	6.387	7.10242e-07	680.937
80	1.733569	-0.027888	5.317	1.06964e-05	683.210
81	1.730674	-0.002895	6.000	1.94336e-06	685.317
82	1.717794	-0.012880	5.976	2.06257e-06	687.555
83	1.701907	-0.015887	5.725	3.89898e-06	689.804
84	1.696123	-0.005784	6.202	1.15149e-06	692.025
85	1.693756	-0.002366	6.944	1.58488e-07	694.344
86	1.693718	-0.000038	7.882	1.15121e-08	696.809
87	1.690624	-0.003094	8.619	3.88701e-09	699.458
88	1.650779	-0.039845	6.576	4.29413e-07	702.260
89	1.636277	-0.014503	6.392	7.0059e-07	704.714
90	1.618267	-0.018010	5.922	2.37029e-06	707.152
91	1.589268	-0.028999	4.569	6.23007e-05	709.524
92	1.580597	-0.008671	4.757	4.03996e-05	711.675
93	1.574607	-0.005990	5.158	1.56781e-05	713.873
94	1.564368	-0.010238	5.229	1.32374e-05	716.156
95	1.549669	-0.014700	4.936	2.65974e-05	718.468
96	1.506623	-0.043046	2.329	0.00589789	720.744
97	1.497042	-0.009581	2.355	0.00563743	722.578
98	1.489640	-0.007402	2.555	0.00393513	724.429
99	1.480350	-0.009290	2.600	0.00362323	726.326
100	1.469587	-0.010763	2.519	0.00420387	728.244
101	1.447376	-0.022210	1.468	0.0244444	730.160
102	1.445188	-0.002188	2.068	0.00927065	731.906
103	1.436038	-0.009150	2.091	0.00891652	733.767
104	1.434396	-0.001642	2.752	0.00273338	735.645
105	1.432194	-0.002202	3.382	0.000801458	737.652
106	1.412427	-0.019767	2.504	0.00431986	739.786
107	1.389826	-0.022600	1.341	0.02967	741.775
