N	eigenvalue	difference	twstat	p-value	effect.n
1	56.388504	NA	135.462	0	51.796
2	13.967793	-42.420711	217.131	0	341.297
3	7.757562	-6.210231	162.455	0	558.609
4	4.673372	-3.084190	82.554	3.1765e-219	680.294
5	4.474576	-0.198796	83.440	9.81105e-223	723.226
6	3.450000	-1.024576	46.426	1.39581e-93	768.608
7	2.999654	-0.450346	29.199	1.26109e-47	790.577
8	2.810295	-0.189360	22.460	9.86781e-33	804.253
9	2.721097	-0.089198	19.967	9.83142e-28	815.174
10	2.684853	-0.036244	19.860	1.58809e-27	825.211
11	2.661139	-0.023714	20.341	1.81957e-28	835.345
12	2.633607	-0.027532	20.636	4.78306e-29	845.827
13	2.591543	-0.042064	20.174	3.8778e-28	856.587
14	2.513253	-0.078290	17.754	1.50551e-23	867.301
15	2.497927	-0.015326	18.484	6.66791e-25	877.125
16	2.432956	-0.064971	16.564	2.1173e-21	887.397
17	2.387369	-0.045587	15.553	1.23731e-19	896.983
18	2.357526	-0.029843	15.328	3.00496e-19	906.263
19	2.276200	-0.081326	12.179	3.72749e-14	915.567
20	2.252330	-0.023870	12.091	5.08567e-14	923.666
21	2.190277	-0.062053	9.786	1.09276e-10	931.824
22	2.166905	-0.023372	9.590	2.02306e-10	939.133
23	2.133078	-0.033827	8.755	2.58904e-09	946.444
24	2.102084	-0.030994	8.033	2.14188e-08	953.498
25	2.077036	-0.025047	7.620	2.36146e-08	960.337
26	2.061650	-0.015386	7.761	1.57755e-08	967.082
27	2.039006	-0.022645	7.453	3.88125e-08	973.956
28	2.021795	-0.017211	7.455	3.85837e-08	980.777
29	2.007937	-0.013858	7.656	2.14238e-08	987.672
30	1.967015	-0.040922	6.145	1.33433e-06	994.723
31	1.955991	-0.011024	6.460	5.86224e-07	1001.222
32	1.915305	-0.040686	4.867	3.12915e-05	1007.919
33	1.901380	-0.013925	4.932	2.68822e-05	1014.025
34	1.881224	-0.020155	4.581	6.05665e-05	1020.219
35	1.864425	-0.016799	4.429	8.55912e-05	1026.329
36	1.846973	-0.017452	4.217	0.000137165	1032.436
37	1.813019	-0.033955	2.874	0.00217303	1038.515
38	1.804880	-0.008139	3.221	0.00110682	1044.095
39	1.786578	-0.018301	2.878	0.00215501	1049.872
40	1.773990	-0.012589	2.909	0.00203415	1055.560
41	1.762860	-0.011129	3.035	0.00159594	1061.315
42	1.746674	-0.016186	2.802	0.00248794	1067.177
43	1.729470	-0.017204	2.480	0.00450518	1072.996
44	1.720720	-0.008750	2.743	0.00278106	1078.732
45	1.716954	-0.003766	3.370	0.000822191	1084.635
46	1.674321	-0.042633	1.183	0.0374371	1090.868
47	1.657304	-0.017017	0.779	0.0656275	1096.210
48	1.638673	-0.018631	0.234	0.129417	1101.426
49	1.630443	-0.008230	0.437	0.101673	1106.455
50	1.612151	-0.018292	-0.115	0.189945	1111.615
51	1.598832	-0.013319	-0.318	0.232898	1116.583
52	1.574138	-0.024694	-1.403	0.542798	1121.506
53	1.568484	-0.005654	-1.070	0.43775	1126.005
54	1.564957	-0.003526	-0.566	0.293033	1130.684
55	1.545716	-0.019241	-1.273	0.501429	1135.621
56	1.524744	-0.020972	-2.149	0.766168	1140.292
57	1.514613	-0.010131	-2.204	0.780476	1144.620
58	1.504418	-0.010195	-2.272	0.797249	1148.959
59	1.495611	-0.008807	-2.235	0.788219	1153.303
60	1.484375	-0.011236	-2.398	0.826753	1157.698
61	1.479545	-0.004831	-2.051	0.739869	1162.057
62	1.475375	-0.004170	-1.642	0.618521	1166.605
63	1.451828	-0.023547	-2.820	0.905826	1171.375
64	1.432178	-0.019650	-3.723	0.984557	1175.652
65	1.417816	-0.014362	-4.220	0.995952	1179.562
66	1.411523	-0.006293	-4.060	0.993588	1183.281
67	1.409195	-0.002329	-3.563	0.977529	1187.098
68	1.389624	-0.019570	-4.521	0.998429	1191.167
69	1.384450	-0.005174	-4.283	0.996651	1194.835
70	1.366369	-0.018081	-5.153	0.99985	1198.638
71	1.358411	-0.007959	-5.179	0.999865	1202.077
72	1.350132	-0.008278	-5.237	0.999894	1205.530
73	1.336457	-0.013676	-5.774	0.999991	1208.980
74	1.330568	-0.005889	-5.645	0.999983	1212.213
75	1.325253	-0.005315	-5.465	0.999961	1215.525
76	1.316154	-0.009098	-5.619	0.999981	1218.943
77	1.308104	-0.008050	-5.689	0.999987	1222.314
78	1.306478	-0.001626	-5.184	0.999868	1225.675
79	1.286280	-0.020197	-6.353	1	1229.295
80	1.277821	-0.008460	-6.491	1	1232.397
81	1.271554	-0.006267	-6.436	1	1235.456
82	1.267489	-0.004065	-6.178	0.999999	1238.560
83	1.256618	-0.010871	-6.548	1	1241.805
84	1.247771	-0.008847	-6.744	1	1244.898
85	1.241514	-0.006257	-6.706	1	1247.918
86	1.233908	-0.007606	-6.798	1	1250.976
87	1.228134	-0.005774	-6.722	1	1254.010
88	1.220698	-0.007436	-6.805	1	1257.100
89	1.200016	-0.020682	-8.166	1	1260.170
90	1.194224	-0.005792	-8.134	1	1262.611
91	1.192902	-0.001322	-7.671	1	1265.081
92	1.182770	-0.010132	-8.056	1	1267.786
93	1.171255	-0.011515	-8.591	1	1270.322
94	1.160750	-0.010505	-9.045	1	1272.616
95	1.148852	-0.011898	-9.652	1	1274.707
96	1.143568	-0.005284	-9.622	1	1276.520
97	1.133728	-0.009840	-10.049	1	1278.356
98	1.119450	-0.014278	-10.935	1	1279.998
99	1.117487	-0.001963	-10.607	1	1281.232
100	1.112206	-0.005281	-10.608	1	1282.622
101	1.101526	-0.010680	-11.160	1	1284.017
102	1.095251	-0.006276	-11.279	1	1285.156
103	1.089227	-0.006023	-11.378	1	1286.242
104	1.083211	-0.006016	-11.480	1	1287.283
105	1.078854	-0.004357	-11.416	1	1288.277
106	1.074151	-0.004704	-11.389	1	1289.303
107	1.069185	-0.004965	-11.389	1	1290.344
108	1.058306	-0.010880	-12.010	1	1291.386
109	1.052841	-0.005465	-12.081	1	1292.133
110	1.048081	-0.004759	-12.081	1	1292.845
111	1.044223	-0.003859	-11.988	1	1293.556
112	1.036623	-0.007600	-12.292	1	1294.311
113	1.032136	-0.004487	-12.273	1	1294.919
114	1.023476	-0.008660	-12.702	1	1295.534
115	1.020090	-0.003386	-12.578	1	1295.941
116	1.011426	-0.008664	-13.021	1	1296.404
117	1.004375	-0.007051	-13.302	1	1296.650
118	0.998370	-0.006005	-13.478	1	1296.757
119	0.996627	-0.001744	-13.197	1	1296.774
120	0.992147	-0.004480	-13.209	1	1296.921
121	0.983528	-0.008619	-13.677	1	1297.056
122	0.982087	-0.001441	-13.368	1	1296.959
123	0.977755	-0.004332	-13.373	1	1297.005
124	0.972098	-0.005657	-13.526	1	1297.043
125	0.967841	-0.004257	-13.529	1	1296.999
126	0.962156	-0.005685	-13.692	1	1296.947
127	0.961409	-0.000747	-13.309	1	1296.807
128	0.957856	-0.003553	-13.234	1	1296.850
129	0.949862	-0.007994	-13.657	1	1296.925
130	0.945317	-0.004545	-13.703	1	1296.780
131	0.944581	-0.000736	-13.321	1	1296.605
132	0.940062	-0.004519	-13.360	1	1296.615
133	0.936438	-0.003624	-13.300	1	1296.598
134	0.934574	-0.001864	-13.039	1	1296.604
135	0.931281	-0.003293	-12.937	1	1296.738
136	0.927233	-0.004048	-12.922	1	1296.919
137	0.920064	-0.007169	-13.268	1	1297.101
138	0.915034	-0.005030	-13.376	1	1297.096
139	0.912082	-0.002952	-13.247	1	1297.027
140	0.908445	-0.003637	-13.197	1	1297.018
141	0.906695	-0.001750	-12.925	1	1297.028
142	0.892346	-0.014349	-14.129	1	1297.175
143	0.889105	-0.003242	-14.056	1	1296.676
144	0.883923	-0.005182	-14.211	1	1296.205
145	0.877711	-0.006212	-14.494	1	1295.642
146	0.871499	-0.006212	-14.785	1	1294.918
147	0.864333	-0.007166	-15.198	1	1294.030
148	0.861558	-0.002775	-15.096	1	1292.914
149	0.858529	-0.003029	-15.024	1	1291.835
150	0.856533	-0.001996	-14.828	1	1290.780
151	0.851496	-0.005037	-14.995	1	1289.813
152	0.848565	-0.002931	-14.912	1	1288.744
153	0.845166	-0.003399	-14.886	1	1287.704
154	0.841728	-0.003438	-14.865	1	1286.663
155	0.839076	-0.002652	-14.749	1	1285.618
156	0.832425	-0.006651	-15.121	1	1284.621
157	0.827496	-0.004930	-15.291	1	1283.408
158	0.822764	-0.004731	-15.443	1	1282.088
159	0.821772	-0.000992	-15.138	1	1280.669
160	0.819247	-0.002525	-15.017	1	1279.397
161	0.817429	-0.001818	-14.807	1	1278.175
162	0.813813	-0.003616	-14.817	1	1277.052
163	0.810753	-0.003060	-14.759	1	1275.907
164	0.805831	-0.004921	-14.934	1	1274.778
165	0.802717	-0.003114	-14.887	1	1273.535
166	0.796206	-0.006512	-15.268	1	1272.301
167	0.791929	-0.004277	-15.377	1	1270.837
168	0.791066	-0.000863	-15.059	1	1269.293
169	0.784733	-0.006333	-15.428	1	1267.909
170	0.782087	-0.002646	-15.338	1	1266.299
171	0.778996	-0.003091	-15.304	1	1264.720
172	0.777701	-0.001294	-15.042	1	1263.141
173	0.773487	-0.004214	-15.148	1	1261.691
174	0.765286	-0.008202	-15.769	1	1260.162
175	0.763602	-0.001684	-15.568	1	1258.259
176	0.758380	-0.005221	-15.819	1	1256.449
177	0.756206	-0.002174	-15.684	1	1254.475
178	0.753937	-0.002269	-15.559	1	1252.555
179	0.752016	-0.001922	-15.387	1	1250.686
180	0.751170	-0.000846	-15.073	1	1248.894
181	0.746126	-0.005044	-15.299	1	1247.264
182	0.742625	-0.003501	-15.331	1	1245.480
183	0.739766	-0.002859	-15.281	1	1243.656
184	0.737288	-0.002478	-15.180	1	1241.839
185	0.737239	-0.000049	-14.759	1	1240.059
186	0.733254	-0.003984	-14.849	1	1238.511
187	0.729925	-0.003330	-14.855	1	1236.887
188	0.729507	-0.000418	-14.476	1	1235.237
189	0.726911	-0.002595	-14.379	1	1233.799
190	0.721471	-0.005440	-14.660	1	1232.400
191	0.717879	-0.003592	-14.703	1	1230.804
192	0.713350	-0.004528	-14.874	1	1229.159
193	0.711917	-0.001433	-14.634	1	1227.385
194	0.710429	-0.001489	-14.396	1	1225.737
195	0.705601	-0.004828	-14.606	1	1224.218
196	0.700101	-0.005500	-14.913	1	1222.542
197	0.696045	-0.004056	-15.033	1	1220.647
198	0.695442	-0.000603	-14.687	1	1218.651
199	0.689175	-0.006266	-15.107	1	1216.850
200	0.686924	-0.002251	-14.989	1	1214.756
201	0.682876	-0.004048	-15.116	1	1212.711
202	0.675318	-0.007558	-15.730	1	1210.558
203	0.672510	-0.002808	-15.705	1	1207.987
204	0.671103	-0.001408	-15.487	1	1205.403
205	0.667551	-0.003552	-15.563	1	1202.928
206	0.664426	-0.003125	-15.581	1	1200.376
207	0.662402	-0.002023	-15.449	1	1197.783
208	0.657309	-0.005093	-15.741	1	1195.246
209	0.656619	-0.000690	-15.428	1	1192.489
210	0.650511	-0.006108	-15.865	1	1189.905
211	0.647111	-0.003400	-15.935	1	1187.007
212	0.646304	-0.000808	-15.644	1	1184.031
213	0.643820	-0.002484	-15.583	1	1181.212
214	0.638397	-0.005423	-15.935	1	1178.403
215	0.635975	-0.002422	-15.873	1	1175.329
216	0.634106	-0.001869	-15.733	1	1172.263
217	0.628220	-0.005886	-16.159	1	1169.256
218	0.627198	-0.001022	-15.906	1	1165.935
219	0.621966	-0.005232	-16.247	1	1162.746
220	0.620885	-0.001080	-16.005	1	1159.297
221	0.616892	-0.003994	-16.175	1	1155.972
222	0.615369	-0.001523	-15.996	1	1152.500
223	0.611075	-0.004294	-16.211	1	1149.110
224	0.609673	-0.001402	-16.017	1	1145.541
225	0.607783	-0.001889	-15.890	1	1142.065
226	0.605986	-0.001797	-15.748	1	1138.637
227	0.600691	-0.005295	-16.107	1	1135.269
228	0.599889	-0.000802	-15.828	1	1131.621
229	0.593860	-0.006029	-16.297	1	1128.124
230	0.591734	-0.002126	-16.214	1	1124.270
231	0.585521	-0.006213	-16.721	1	1120.434
232	0.585116	-0.000405	-16.400	1	1116.216
233	0.581350	-0.003766	-16.560	1	1112.174
234	0.578894	-0.002456	-16.534	1	1107.984
235	0.577721	-0.001173	-16.322	1	1103.770
