,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.004044352200668444,0.002224029615938434,2.751450341797187,194000,4872
1,I,left_arm,0.00424428872761305,0.002549690424875415,2.236645117944644,1789500,36484
2,I,center,0.00433738819043245,0.002214438400863361,3.2265852789473697,7199500,96828
3,I,right_arm,0.004363083262482775,0.0029742478095302117,1.571515289145091,13089000,58395
4,I,right_tip,0.005057176183250166,0.002581669176466437,3.2253506013170403,15255500,7993
5,I,full,0.004349893511457678,0.0024419773501395824,2.6296339436233183,7770500,204572
6,II,left_tip,0.0052651598427379785,0.003101194834535793,2.347331401588034,283000,9569
7,II,left_arm,0.0055587184366852555,0.003413332663992925,2.115256629682565,1988000,48285
8,II,center,0.004785474955931975,0.002789670647707263,2.4079097620831043,8699000,158809
9,II,right_arm,0.004330169494361342,0.0033690533151798743,0.9600601680105311,15279500,41443
10,II,right_tip,0.0010237956775116935,0.0005557208586219112,2.618732643994205,16583000,80
11,II,full,0.004850466072343272,0.0029669742086082082,2.136634001427531,8297500,258186
12,III,left_tip,0.004936847994628024,0.0027896070956230402,2.5895109290487897,358000,10709
13,III,left_arm,0.004730018433733197,0.003236259015404505,1.5533753236557326,2340500,55691
14,III,center,0.004234123188085129,0.0022480918352303764,2.973297925376097,7894500,95895
15,III,right_arm,0.005547167702890967,0.0032763776706147443,2.3323637087121476,12909500,37906
16,III,right_tip,0.004958402628073381,0.0030521438071809083,2.101338781302891,14403000,13364
17,III,full,0.00456142200259069,0.002628321467556569,2.4754470668412476,7405500,213565
18,IV,left_tip,0.005174867391610438,0.003725410695820444,1.3090792153357464,351000,13605
19,IV,left_arm,0.004937388320515076,0.0030862406409346275,2.018651669151513,2475000,57588
20,IV,center,0.004669638027661332,0.002658176896566783,2.5468340971203083,8845000,132166
21,IV,right_arm,0.0048227310231878165,0.0033550445093862374,1.472210516064188,14904000,49754
22,IV,right_tip,0.004998093317093453,0.0029427360060193595,2.349800358785051,16723000,11442
23,IV,full,0.0047811121405108865,0.002898463251900556,2.186160734907325,8540000,264555
24,V,left_tip,0.0038395484224808102,0.0022457113348049182,2.386826664074112,234500,5548
25,V,left_arm,0.005703280838044717,0.003241739389128026,2.5556092354745044,3265500,93355
26,V,center,0.004932498754639327,0.002612987147611358,2.987670565035568,10778500,132819
27,V,right_arm,0.004995758615290785,0.0034502953206625685,1.507502926894207,17521000,68366
28,V,right_tip,0.004451608777499404,0.002416474916362348,2.831978714000886,19740000,4991
29,V,full,0.005113097082897128,0.0029188010677136246,2.5303040402057086,9966500,305079
30,X,left_tip,0.005658097729547722,0.002855345475494333,3.3031496345233102,722000,22218
31,X,left_arm,0.005776634726257828,0.003045580388856176,3.0180539272305795,4255000,92114
32,X,center,0.006433473064369021,0.0032053483895247135,3.3896404382873975,12794000,191719
33,X,right_arm,0.006021339997841096,0.0033495017656336975,2.684643235538908,20341500,65369
34,X,right_tip,0.0004841297187419955,0.00033708397975928234,1.4024987653938612,22191000,150
35,X,full,0.006132212322415417,0.0031562275995686818,3.1735545256620816,11110500,371570
