,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0003241423741761999,0.0006704020241755288,-1.7872328967008762,194000,1311
1,I,left_arm,0.0007155705557485029,0.0013682036443859917,-1.6566693401816,1789500,18311
2,I,center,0.00023576821723504595,0.0006614432158407183,-2.235429154210315,7199500,27290
3,I,right_arm,0.0019121468798053221,0.0019879663637217613,-0.13248134909119963,13089000,36530
4,I,right_tip,0.0004872540676194397,0.0008499653597831472,-1.4797510820520257,15255500,2606
5,I,full,0.0006776376948757552,0.0010594221727030055,-1.2519038382159753,7770500,86048
6,II,left_tip,0.0010745683684554867,0.0014993808685548112,-0.9832311460322253,283000,4466
7,II,left_arm,0.001814741819235309,0.0018439650145065103,-0.055046147422663075,1988000,24366
8,II,center,0.0010240896205641608,0.0012667202996815132,-0.665399693872163,8699000,68010
9,II,right_arm,0.0018368549886603818,0.002240356672087348,-0.6255895076254127,15279500,26097
10,II,right_tip,0.00020168794676242094,0.0004661214095384636,-1.8389722756105014,16583000,48
11,II,full,0.0012494768164075384,0.0014889188079930324,-0.558675286990901,8297500,122987
12,III,left_tip,0.0006261758075316401,0.0011469752821120405,-1.5756749567356203,358000,4451
13,III,left_arm,0.0019119698951402715,0.0020840908757571493,-0.2868723051759543,2340500,33329
14,III,center,0.00029515537680816384,0.0007060195805760703,-2.0214285088300676,7894500,28250
15,III,right_arm,0.0006517664248070373,0.001519413983325396,-1.983146374125462,12909500,16600
16,III,right_tip,0.00045838245581905033,0.0008043427110208697,-1.4921152147179708,14403000,3525
17,III,full,0.0006628703587916536,0.0010865292311009144,-1.3545513779831295,7405500,86155
18,IV,left_tip,0.0012815981243496884,0.0018298162380879614,-1.0401265545045124,351000,6255
19,IV,left_arm,0.001720221539500935,0.0023691725709195635,-0.9515093936873684,2475000,41057
20,IV,center,0.0008749830415492205,0.001117119178012054,-0.7529566313730454,8845000,51821
21,IV,right_arm,0.002127977277680101,0.0023123540696489576,-0.27696348960142214,14904000,31974
22,IV,right_tip,0.002027196967694355,0.001736904843804047,0.5802095729872143,16723000,6338
23,IV,full,0.001285291644010765,0.0015931490260821697,-0.671313759979423,8540000,137445
24,V,left_tip,0.0007260903591301809,0.0010651820953338836,-1.1040844869993474,234500,2491
25,V,left_arm,0.0020320560506242443,0.0021584005433926898,-0.20334664176898223,3265500,58084
26,V,center,0.0007564980897869102,0.0011383164364389693,-1.1652153442850797,10778500,54314
27,V,right_arm,0.0019693329862581063,0.0022022448940291956,-0.3673859217565087,17521000,41066
28,V,right_tip,0.00039392074517780474,0.0008183763119837352,-1.7969847717587062,19740000,1646
29,V,full,0.0013088161109407108,0.001595008627407299,-0.6233473226815464,9966500,157601
30,X,left_tip,0.0005236131842175419,0.00105202147372981,-1.744061680811601,722000,7564
31,X,left_arm,0.0009140831921709545,0.0015776887215671232,-1.4611472632399707,4255000,44806
32,X,center,0.0005432907506067942,0.0010200348447692497,-1.6236244435336615,12794000,57673
33,X,right_arm,0.0010221163740140287,0.0015996875766798066,-1.2541556010639174,20341500,28935
34,X,right_tip,0.0001131383565389709,0.00020784561395088656,-1.4818853916324841,22191000,83
35,X,full,0.0007113345866685296,0.0012542817462370536,-1.5038221953533835,11110500,139061
