,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0012738033155020618,0.0026981747853762838,-1.535926232085006,263500.0,11081
1,I,left_arm,0.001988640104143813,0.004203051804798254,-1.5338093091851817,2192500.0,105055
2,I,center,0.0007247074536638757,0.0018152254728750895,-1.7489826487215734,7449000.0,102614
3,I,right_arm,0.0021066748600250132,0.004896543197556189,-1.6587574089385693,12957500.0,138680
4,I,right_tip,0.001104804844857278,0.00277174509977355,-1.7479502741811606,14973717.0,4149
5,I,full,0.001319231051540913,0.003048443743660464,-1.6514815733738732,7536217.0,361579
6,II,left_tip,0.000984807486106337,0.002992736199125448,-1.9513867942174805,153000.0,7120
7,II,left_arm,0.004213723921333462,0.006432526825093578,-1.0042344946674295,2592500.0,217703
8,II,center,0.001144855774255162,0.0022676565511392543,-1.4415005754381223,8449500.0,126492
9,II,right_arm,0.002709740114507775,0.0050200403495418945,-1.3397981933012508,13314500.0,96538
10,II,right_tip,0.001352680421103097,0.0028637777961121706,-1.5354108669261526,14944210.5,14459
11,II,full,0.002258339208562484,0.003906313637760357,-1.2282568692692621,7639710.5,462312
12,III,left_tip,0.003198907114056868,0.00616148125420662,-1.399412143477753,247000.0,22024
13,III,left_arm,0.0030294672024745433,0.004947707761942143,-1.128707049253543,2108000.0,122583
14,III,center,0.0010524682816548203,0.0019694143652566214,-1.3554708550707733,7031000.0,101621
15,III,right_arm,0.002033334826342937,0.0039382922397910676,-1.4081467249314505,11778500.0,85741
16,III,right_tip,0.0008913541378622225,0.002552496816597523,-1.8935011758799136,13500400.5,11275
17,III,full,0.0017024109117092026,0.0031058332166985117,-1.3155670918619542,6891900.5,343244
18,IV,left_tip,0.0012460541871293512,0.0025707636574398133,-1.4995008553409708,360000.0,14684
19,IV,left_arm,0.0025562270985640054,0.004794716580104891,-1.3591714053323865,2308000.0,117120
20,IV,center,0.001177765552548297,0.0022713933874184905,-1.4017522274981442,8433000.0,160165
21,IV,right_arm,0.001963397184626541,0.004320865749652532,-1.5884109125828225,14841000.0,122410
22,IV,right_tip,0.0038300961064401985,0.005090913498365535,-0.7208893738908296,17102914.5,29903
23,IV,full,0.001684084056033314,0.003244201008015087,-1.4000868328581317,8746914.5,444282
24,V,left_tip,0.007298704983070049,0.00977468199304593,-0.737373265939693,321500.0,45424
25,V,left_arm,0.0037889779041627575,0.007195973272182522,-1.3784248053277233,3270000.0,270657
26,V,center,0.0024368053823447286,0.004158455574608916,-1.2053604690006305,11223500.0,337833
27,V,right_arm,0.005335170371107663,0.008358327242002007,-1.053026374247923,18443500.0,225128
28,V,right_tip,0.004109476954194991,0.005934885343252129,-0.8952375863642715,20630590.0,26071
29,V,full,0.0034018521707945837,0.00575135777201907,-1.189365557824216,10462090.0,905114
30,X,left_tip,0.0011201311540509312,0.00250929647220533,-1.610517536316205,286000.0,10591
31,X,left_arm,0.0014132511153593698,0.003053838553638439,-1.5640202156945364,3354500.0,132166
32,X,center,0.0014062964783375877,0.002848151964833772,-1.473840388341232,9308500.0,140567
33,X,right_arm,0.0018455453391715995,0.0037486538270465014,-1.4779991693904015,14448500.0,114562
34,X,right_tip,0.0010008355905470842,0.0026079651097067735,-1.7936776460279158,17067971.0,26199
35,X,full,0.0014691123588626404,0.0030847189570770844,-1.524844304485314,8859471.0,424085
