,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0020945723730154005,0.0029756173009403784,-1.139383383404068,194000,4891
1,I,left_arm,0.0040705840386355534,0.004177558883799269,-0.09861106526826095,1789500,45862
2,I,center,0.002483384854286913,0.0031859144415830793,-0.8492238785704416,7199500,106943
3,I,right_arm,0.004795176688443771,0.004757861524183022,0.030203295565003542,13089000,71096
4,I,right_tip,0.003144340064605097,0.0040144532523194365,-0.834443032634667,15255500,9605
5,I,full,0.0032350317820633136,0.003699682673916846,-0.4836830994895739,7770500,238397
6,II,left_tip,0.004141428406896751,0.004315728929323934,-0.15548871306348183,283000,10207
7,II,left_arm,0.005132358432175554,0.005255474530046934,-0.09021478100853045,1988000,56920
8,II,center,0.0034757410595076164,0.003938067886923186,-0.4521291081663445,8699000,172128
9,II,right_arm,0.004148413184078384,0.004376468727006057,-0.2006697691686024,15279500,40189
10,II,right_tip,0.0015369741324580055,0.0014181566712781388,0.3227293173143921,16583000,109
11,II,full,0.0038301140701341575,0.004200157047097234,-0.33930195552473974,8297500,279553
12,III,left_tip,0.0027630922141795257,0.003738766564584795,-1.0047150374570224,358000,11231
13,III,left_arm,0.005097123120024104,0.005144665690940456,-0.03558793509644216,2340500,67591
14,III,center,0.0025924630885730327,0.003162285447685445,-0.6939519150051721,7894500,103705
15,III,right_arm,0.005042746302756858,0.005217188651775692,-0.12875920953357953,12909500,46344
16,III,right_tip,0.0029106942217242966,0.003635202458239236,-0.7673491290622242,14403000,12326
17,III,full,0.0033767294116212555,0.0038322806482657345,-0.45780264942200194,7405500,241197
18,IV,left_tip,0.004453533034722517,0.00451863100239402,-0.05546929053092165,351000,12885
19,IV,left_arm,0.004754481980221891,0.004720222934481716,0.027950873747935333,2475000,67141
20,IV,center,0.003270428922176471,0.003787179823204933,-0.5254852529275312,8845000,143834
21,IV,right_arm,0.005203381660037455,0.005280064701660332,-0.05592870393915659,14904000,59192
22,IV,right_tip,0.004055615171768146,0.0044123235126383815,-0.31126901705868704,16723000,13257
23,IV,full,0.003921364519134206,0.004239218806848067,-0.28876356096649825,8540000,296309
24,V,left_tip,0.003820666119032333,0.0038345363806981483,-0.013924839069270707,234500,7230
25,V,left_arm,0.005074924535608591,0.00491001602746562,0.12934557057880833,3265500,109161
26,V,center,0.0035388666316599447,0.0040289946808557695,-0.4684995320944877,10778500,156780
27,V,right_arm,0.004633745392801747,0.004447208291664582,0.1615325514013321,17521000,67497
28,V,right_tip,0.0033319670437746553,0.003551562479963431,-0.23799110800052395,19740000,5622
29,V,full,0.004151298026286526,0.004326025248724865,-0.15555092636028678,9966500,346291
30,X,left_tip,0.0033513216251641054,0.004119041302266864,-0.7177252275252805,722000,24361
31,X,left_arm,0.005317837556486386,0.005515117131575817,-0.13775955191148084,4255000,127927
32,X,center,0.0037197917153210824,0.004750000738567581,-0.8352773313069238,12794000,217757
33,X,right_arm,0.004196445519052177,0.004918552440996413,-0.5653922571428508,20341500,73050
34,X,right_tip,0.00047684166927383257,0.00037556142465421886,1.009848446819739,22191000,109
35,X,full,0.004168188616468514,0.00491653964959134,-0.5862029641104582,11110500,443204
