,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0008298443979232832,0.001055149021425014,-0.7188825309396071,194000,2257
1,I,left_arm,0.0021231479069188665,0.0024341065619261585,-0.4311363011283157,1789500,34646
2,I,center,0.0010904649408888373,0.0013003891652704745,-0.5448511137160541,7199500,57017
3,I,right_arm,0.003184597963968994,0.003374092438996758,-0.1895513364821227,13089000,65903
4,I,right_tip,0.0014718676391106732,0.0019007314413881278,-0.7609409936560986,15255500,6058
5,I,full,0.0017028490932433818,0.001932855904457771,-0.4016547384109521,7770500,165881
6,II,left_tip,0.0027453915650939606,0.0024956685475210493,0.3375244527578736,283000,7758
7,II,left_arm,0.0034129121324493064,0.003170997894863683,0.25747486827565447,1988000,44889
8,II,center,0.0020455660260295084,0.002116275492604759,-0.1127750883373137,8699000,121494
9,II,right_arm,0.003179342918196505,0.003466616650268276,-0.2796786524923169,15279500,43052
10,II,right_tip,0.001460613199512962,0.0012743668862972596,0.47881769071029584,16583000,140
11,II,full,0.00242216495033973,0.002464095058437604,-0.057435962163373745,8297500,217333
12,III,left_tip,0.001069151366426241,0.0016585801312796744,-1.1985884273352105,358000,6721
13,III,left_arm,0.0033043866544535936,0.0033727193275414524,-0.06837956809104635,2340500,57997
14,III,center,0.0011499306801367882,0.0013607736384270482,-0.522952064681513,7894500,58527
15,III,right_arm,0.0028403698695663076,0.0029203426956406152,-0.09241656087691351,12909500,33880
16,III,right_tip,0.0013908739050560212,0.001794961517960989,-0.7593783945899318,14403000,8186
17,III,full,0.0017607737349299296,0.0019601006811309813,-0.3432404675826723,7405500,165311
18,IV,left_tip,0.00263682339782027,0.00285071019075426,-0.25313711001685707,351000,10405
19,IV,left_arm,0.002837825432369065,0.0030215493713016024,-0.20522128830764913,2475000,55934
20,IV,center,0.0018679841067618028,0.0020590388788695704,-0.3131832891983724,8845000,102236
21,IV,right_arm,0.0034899525481628716,0.0037850185291824594,-0.26310510971960777,14904000,55658
22,IV,right_tip,0.0026535309286323384,0.0026708412647101936,-0.021866032798521364,16723000,10587
23,IV,full,0.0023535926381943054,0.00255073677784636,-0.26087631903095104,8540000,234820
24,V,left_tip,0.002543584406679327,0.0025439357170080014,-0.0004657954006631146,234500,6258
25,V,left_arm,0.004109985935731091,0.004188810012630532,-0.06351495904535143,3265500,118817
26,V,center,0.0019279507674447255,0.0019907797234799936,-0.10652271700052525,10778500,101453
27,V,right_arm,0.00398493520552575,0.004152128800896634,-0.13590869924918397,17521000,82072
28,V,right_tip,0.0018520034199084126,0.0022900052524486834,-0.6449616788246881,19740000,4717
29,V,full,0.002897992770869693,0.0029900583777257316,-0.10392904593809772,9966500,313317
30,X,left_tip,0.0016370333255744365,0.001713639162655441,-0.15084263193456515,722000,13143
31,X,left_arm,0.00283952387985709,0.002781387412949848,0.07054866656080967,4255000,83973
32,X,center,0.001624649218498839,0.0017920552685493862,-0.31530227323222154,12794000,107796
33,X,right_arm,0.0022777081400925563,0.0023127501428960545,-0.0511374889258884,20341500,44800
34,X,right_tip,0.00036246171084066103,0.0003076491457221469,0.5721054602621748,22191000,145
35,X,full,0.0020351639950026298,0.0021172934803606273,-0.13092903403992492,11110500,249857
