,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0003386320098054044,0.0006071839013624653,-1.5110375327010805,194000,1275
1,I,left_arm,0.0009285789107453822,0.001242678917985484,-0.8670847191285519,1789500,16937
2,I,center,0.00036695321548630555,0.0006624182576135019,-1.5303756113075209,7199500,27767
3,I,right_arm,0.0021667366649639583,0.0024642699000087557,-0.4142777430601691,13089000,46478
4,I,right_tip,0.0007981521802121834,0.0012333233578484533,-1.2092346667807905,15255500,3739
5,I,full,0.0008519080232240713,0.001155510131270421,-0.9015797330291668,7770500,96196
6,II,left_tip,0.0013812596516293873,0.0018053172362010655,-0.8053197316877574,283000,5544
7,II,left_arm,0.002410800044207172,0.0023138976461334186,0.1436846747924188,1988000,31277
8,II,center,0.001176220150155761,0.001326864681236724,-0.38957840273608835,8699000,72673
9,II,right_arm,0.002989592450493746,0.0031592121061214326,-0.18421823619711894,15279500,37775
10,II,right_tip,0.0006958885536243177,0.0008433391625189861,-0.5805773891411394,16583000,83
11,II,full,0.0016065155343043913,0.0017332294820054214,-0.25087087781906015,8297500,147352
12,III,left_tip,0.0004988394854825176,0.000953241510397772,-1.6335434238093756,358000,3430
13,III,left_arm,0.0021334114889756052,0.002553503129076005,-0.5644714237881423,2340500,42471
14,III,center,0.00038042908556353423,0.0006859011043910562,-1.5280355760351618,7894500,27739
15,III,right_arm,0.0011802792971160549,0.001748733792081646,-1.1151382459119443,12909500,19395
16,III,right_tip,0.0007513631124898757,0.0014658009226896046,-1.671234012209642,14403000,6426
17,III,full,0.0008276938425032791,0.0012171744061669403,-1.0980084134476082,7405500,99461
18,IV,left_tip,0.0019857735230247846,0.0022669180754164684,-0.4253442523712362,351000,7915
19,IV,left_arm,0.001953895491128395,0.00208118017896059,-0.2098487462577014,2475000,37131
20,IV,center,0.0011075332450962954,0.0013175369792037949,-0.5469264570421237,8845000,62671
21,IV,right_arm,0.0023086461832273054,0.002886847166651375,-0.6872105496644628,14904000,41127
22,IV,right_tip,0.0020511748980485147,0.00228118319374683,-0.3458063889237913,16723000,8541
23,IV,full,0.0015222637341311689,0.0017691580075709604,-0.478880971036562,8540000,157385
24,V,left_tip,0.0021731022494078287,0.0017915479217617202,0.7300987571526865,234500,4262
25,V,left_arm,0.002148632317862668,0.0023015182685151257,-0.22793823283818046,3265500,63710
26,V,center,0.0010160575080267941,0.0012981852941855256,-0.7457187405459398,10778500,63573
27,V,right_arm,0.0036789346544555406,0.003918105643002233,-0.20945962614413174,17521000,74993
28,V,right_tip,0.00046075247411497404,0.0010353229137647043,-1.900295270743751,19740000,2037
29,V,full,0.00181653134382281,0.002045276833404917,-0.3837844919574653,9966500,208575
30,X,left_tip,0.000725850235762803,0.0011792157361341592,-1.3186954448214407,722000,8786
31,X,left_arm,0.0011584309823577286,0.001406101718466313,-0.6043758786349598,4255000,40240
32,X,center,0.000650707117644726,0.0009295266545799902,-1.0292540585978642,12794000,53516
33,X,right_arm,0.0009379846220466125,0.0012855363057937155,-0.9275739981955469,20341500,23955
34,X,right_tip,0.00021976239541688673,0.00026993257651492945,-0.6031161129001729,22191000,92
35,X,full,0.0008296700096022604,0.0011231188036120992,-0.8965785999127273,11110500,126589
