,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0003010969563120283,0.00030343933728991775,-0.027828585310259564,194000,544
1,I,left_arm,0.0007496262194744686,0.0005559054280405936,1.266032208446823,1789500,6650
2,I,center,0.0004567295763216501,0.00031263114434146885,1.675164775336248,7199500,11681
3,I,right_arm,0.0019942688321217855,0.0013657564611548592,1.6727369776955503,13089000,23215
4,I,right_tip,0.0006800517658460835,0.0004992198579623333,1.3128634938406902,15255500,1380
5,I,full,0.0008336158435880783,0.000580913852750459,1.581354738442219,7770500,43470
6,II,left_tip,0.0014362514665485146,0.0009955886794816577,1.6066157035154278,283000,2925
7,II,left_arm,0.002236711516371015,0.0015504471579879863,1.60880184330371,1988000,18523
8,II,center,0.0011513236786591875,0.0008648425148344379,1.204188488150517,8699000,42147
9,II,right_arm,0.0026770882031579447,0.0021544225355679836,0.8818288821781214,15279500,22822
10,II,right_tip,0.000867610723796615,0.0005235331538562129,2.369311627179281,16583000,46
11,II,full,0.0015244388030888109,0.001142046881116469,1.2172522978489602,8297500,86463
12,III,left_tip,0.0005381304376179888,0.0005127200446341054,0.17973730992173828,358000,1609
13,III,left_arm,0.0020712408714845085,0.0014363635190329154,1.6065594134801002,2340500,21215
14,III,center,0.0004328286934461804,0.00034513864122888346,0.9234110700463467,7894500,12468
15,III,right_arm,0.0015326181942895603,0.00102825771968232,1.782333579510757,12909500,10167
16,III,right_tip,0.0007593136443927086,0.0008209677558414099,-0.2726582582972133,14403000,3136
17,III,full,0.0008918106880922866,0.0006647782920050719,1.2414985919931196,7405500,48595
18,IV,left_tip,0.001787170396127662,0.0013066129946959833,1.3358617424524861,351000,3927
19,IV,left_arm,0.0016808391923495512,0.0012384311521142454,1.2984858949967009,2475000,19739
20,IV,center,0.0010627876824059804,0.0007699528525879868,1.3825587360858107,8845000,32626
21,IV,right_arm,0.0019455200970495898,0.0015398214409784326,0.9576340170583206,14904000,19531
22,IV,right_tip,0.0015585747407720987,0.0013398219678375943,0.593037567711891,16723000,4542
23,IV,full,0.0013616320286112728,0.00101797615023659,1.2272724209687353,8540000,80365
24,V,left_tip,0.0008989195188484337,0.000908761408197074,-0.03929817872145699,234500,1927
25,V,left_arm,0.0016567871800958309,0.001090731048977273,1.8864840230901139,3265500,26735
26,V,center,0.0009415062507081648,0.000639915139026215,1.7132218863033388,10778500,27817
27,V,right_arm,0.0023227612413645672,0.0016488162672772361,1.4858126916222467,17521000,27735
28,V,right_tip,0.0006464512669944622,0.0004976207764173021,1.0826817155280206,19740000,875
29,V,full,0.001374482308735987,0.000946117259369407,1.645985986877111,9966500,85089
30,X,left_tip,0.0009821539490946698,0.000701371372827506,1.4543417166518926,722000,4619
31,X,left_arm,0.0010680345617141303,0.0006840488951954034,2.040383140905977,4255000,17462
32,X,center,0.0006954359753674421,0.0004814111331293046,1.616068819294033,12794000,24496
33,X,right_arm,0.0009378642804855607,0.0007613068485317683,0.8428870577330235,20341500,12647
34,X,right_tip,0.00012535819367737752,9.680462239957103e-05,0.9351076961844548,22191000,33
35,X,full,0.0008473198177336029,0.0005918624006931561,1.5690899670981682,11110500,59257
