,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0010464922908797185,0.0008919643300656772,0.9522116648094991,194000,902
1,I,left_arm,0.001579619554783365,0.0013261454560031722,1.052270038151932,1789500,9191
2,I,center,0.001151493087413266,0.0009627661658902321,1.0793173321625713,7199500,20301
3,I,right_arm,0.00221799928321855,0.0018107642328824079,1.2382445725495674,13089000,16963
4,I,right_tip,0.0008548574219942603,0.0007294958588611409,0.9449926718689501,15255500,1092
5,I,full,0.0014298108579332903,0.0011879822471751729,1.1208564824419611,7770500,48449
6,II,left_tip,0.00191312824543517,0.0016653133809955889,0.8189109173728795,283000,2613
7,II,left_arm,0.002953192940994639,0.0023795113978498,1.3274076873865326,1988000,16494
8,II,center,0.001896555450625731,0.0015194434975400442,1.3665855688535928,8699000,42283
9,II,right_arm,0.002470614639618215,0.001918611978344498,1.5840143823194115,15279500,10977
10,II,right_tip,0.0007481812169312168,0.0004543541475359658,3.3574857126678097,16583000,23
11,II,full,0.0021273766222278537,0.0017028251077051471,1.3728318851624042,8297500,72390
12,III,left_tip,0.0029569343005043575,0.002214720290258432,1.8446756276959044,358000,4422
13,III,left_arm,0.0028802243799882477,0.002295900947472793,1.4012785241737067,2340500,19258
14,III,center,0.001316560301321005,0.0010822141381953809,1.1922926544025427,7894500,22406
15,III,right_arm,0.001903195378166348,0.0015300728982110962,1.3424838406851023,12909500,8451
16,III,right_tip,0.0015018056514175075,0.0012340688545217963,1.193947770486648,14403000,2686
17,III,full,0.0017705061779704737,0.0014269135930506805,1.325866757799593,7405500,57223
18,IV,left_tip,0.002564543919429093,0.002090817377344045,1.2471381635316237,351000,3831
19,IV,left_arm,0.002690594769344837,0.0021600126044486953,1.352475827770113,2475000,19190
20,IV,center,0.0014463187277820174,0.0011770762894668316,1.2594572463026585,8845000,28007
21,IV,right_arm,0.003490293371476421,0.002753340131054469,1.4736931834158737,14904000,19642
22,IV,right_tip,0.003140673383983842,0.002481930956410046,1.4610173722306925,16723000,4787
23,IV,full,0.0020995875833169585,0.0016877806946440906,1.3434921659956243,8540000,75457
24,V,left_tip,0.00324836876466369,0.0023567042625067696,2.082378796706052,234500,2789
25,V,left_arm,0.0028810788790092387,0.002255425514099591,1.5273947978803004,3265500,31061
26,V,center,0.0019758350580838034,0.0015834498424821476,1.3644550218561748,10778500,38989
27,V,right_arm,0.00335494505305599,0.002570428074113325,1.6804923550512323,17521000,24516
28,V,right_tip,0.0009332152734285179,0.0007865340856982619,1.0251221476182837,19740000,762
29,V,full,0.0024776526225432287,0.0019444909006266023,1.5097775577056873,9966500,98118
30,X,left_tip,0.0011315749552619108,0.0009531011957820894,1.0307349024345152,722000,3570
31,X,left_arm,0.0016565352718765016,0.0013795527772398465,1.1054800873193749,4255000,20024
32,X,center,0.0016319534895514983,0.0013368791851083217,1.2153196329238636,12794000,38383
33,X,right_arm,0.0015064616731079279,0.001277958369791951,0.9844450959709835,20341500,12098
34,X,right_tip,0.00019985895839272585,0.0001539297067841625,1.5491154784692667,22191000,37
35,X,full,0.0015798161313430338,0.0013086800266972757,1.1408071895543115,11110500,74112
