,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0003521252767321622,0.00044550717298992023,-0.7191918977884215,194000,881
1,I,left_arm,0.0006673605080559057,0.0007236863056103092,-0.26851062631380124,1789500,9735
2,I,center,0.0003513106739216842,0.0003540462508858875,-0.02666274555900838,7199500,14726
3,I,right_arm,0.0018331692292112758,0.0015955239049945105,0.514039553169863,13089000,29716
4,I,right_tip,0.0005494827815741094,0.000602711176186604,-0.3040370293702267,15255500,1798
5,I,full,0.0007225818954592349,0.0006865319009114054,0.18124079132317644,7770500,56856
6,II,left_tip,0.001535606205918338,0.0012285839384513877,0.861452762122174,283000,3800
7,II,left_arm,0.002093270490502553,0.001588945383747805,1.0953213370966528,1988000,21189
8,II,center,0.0011219202048992644,0.0009683810431873066,0.5472490119768544,8699000,52462
9,II,right_arm,0.0025522576946187298,0.0024755498743150696,0.1069401879530546,15279500,29571
10,II,right_tip,0.0015048075697814078,0.0009908176778872472,1.7547981341194594,16583000,96
11,II,full,0.001471040441206503,0.0012702952152122424,0.5454708219045377,8297500,107118
12,III,left_tip,0.00033612386484979125,0.0005054269861867562,-1.1532558129568145,358000,1840
13,III,left_arm,0.0018527673155073025,0.0015476513262529016,0.6803624789164677,2340500,25454
14,III,center,0.00031076078052466415,0.00039180216207713254,-0.7137784694571595,7894500,15660
15,III,right_arm,0.0011610759678714344,0.0010581258771757299,0.33566807774268115,12909500,11708
16,III,right_tip,0.0005156568775354668,0.0006214653300421736,-0.5865914124642612,14403000,2691
17,III,full,0.0007108213836918617,0.0007043943918272896,0.0314920935034759,7405500,57353
18,IV,left_tip,0.0015482330015783652,0.0013095999539627402,0.6283652738599671,351000,4451
19,IV,left_arm,0.0013390571160702591,0.001301599701922617,0.09931639103725685,2475000,22889
20,IV,center,0.001001203552471569,0.0009705814630639046,0.10889568841073032,8845000,45835
21,IV,right_arm,0.002033363604636892,0.0018562108914740936,0.3293636235672463,14904000,26215
22,IV,right_tip,0.0018651341584205562,0.0016693335648379774,0.40456270416641193,16723000,6237
23,IV,full,0.0012711484372085315,0.0012032100798388889,0.19489686009437726,8540000,105627
24,V,left_tip,0.0014756611526597848,0.001705757780188395,-0.46513674165886726,234500,3995
25,V,left_arm,0.0026495276474922157,0.0022068501316338503,0.6923597953074438,3265500,59379
26,V,center,0.0009608926800824787,0.0008920681028200651,0.26628820675227155,10778500,43310
27,V,right_arm,0.0029257450602514007,0.0028240543477865833,0.12428525639202659,17521000,52486
28,V,right_tip,0.000694669515182148,0.0011403338278784694,-1.3464001513097348,19740000,2255
29,V,full,0.0017752015369528157,0.001618320482367945,0.3346145627309867,9966500,161425
30,X,left_tip,0.0007977337158273239,0.0007147700928766164,0.4003424952771205,722000,5264
31,X,left_arm,0.0010731331869364442,0.0008812107410640164,0.751660067225698,4255000,25075
32,X,center,0.0006071064609424225,0.0006266135701966462,-0.10744637701203166,12794000,35727
33,X,right_arm,0.0012296560065373676,0.0010740543911674058,0.4999652185769007,20341500,19923
34,X,right_tip,0.000327196326912693,0.00025266454530487444,0.9596183023806693,22191000,101
35,X,full,0.0008372678716982307,0.000767782597813336,0.3123803920392334,11110500,86090
