,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0005109768677337533,0.0008860552010620307,-1.5345261140912192,194000,1583
1,I,left_arm,0.0012267586757374258,0.0012975334108263977,-0.19824636507385415,1789500,15796
2,I,center,0.0004314165153319609,0.0005655857622179367,-0.8622849656864725,7199500,21143
3,I,right_arm,0.0023634449403483744,0.00246291235439871,-0.14681123277018915,13089000,41328
4,I,right_tip,0.0007676452735297823,0.001259270750998773,-1.41762112492159,15255500,3418
5,I,full,0.0009791221910072864,0.0011158234558212915,-0.44538041367366826,7770500,83268
6,II,left_tip,0.0008974052100275017,0.0019172249901887697,-1.932272318008682,283000,4960
7,II,left_arm,0.0016398652336772914,0.0020158210645812315,-0.6779196272375209,1988000,24518
8,II,center,0.0011929608178136153,0.0015145056707105962,-0.7718345036261715,8699000,74345
9,II,right_arm,0.0021612945160114187,0.002314023222099306,-0.23991099262839105,15279500,24741
10,II,right_tip,0.0015291896940710598,0.0011390087226938344,1.204225396125513,16583000,96
11,II,full,0.0013777642745820822,0.0017089843696490956,-0.7045983890354518,8297500,128660
12,III,left_tip,0.0009395362856318361,0.001296191000253631,-0.9993842945133337,358000,4508
13,III,left_arm,0.0016360392727051793,0.0021054213682338394,-0.8103872282346632,2340500,31027
14,III,center,0.0006806898933261298,0.0010212310742923505,-1.212205240612999,7894500,37958
15,III,right_arm,0.002014730489824901,0.002265476907459323,-0.40229936010072,12909500,22465
16,III,right_tip,0.0011134029154510373,0.0016053102149348165,-1.1132621786550359,14403000,6090
17,III,full,0.001055776103739023,0.0014188430354846683,-0.9302723312392654,7405500,102048
18,IV,left_tip,0.0018735442818717525,0.0018366389672519869,0.0730041982383553,351000,5768
19,IV,left_arm,0.0018444492719957555,0.0017866319688962216,0.11763509368101936,2475000,28439
20,IV,center,0.0008935914449886423,0.0009060429565602955,-0.0499581313989785,8845000,38485
21,IV,right_arm,0.0022851975990700922,0.0021102506067930543,0.30134839000025393,14904000,27021
22,IV,right_tip,0.0010567064863156884,0.001183060578693529,-0.3878866695944743,16723000,3990
23,IV,full,0.0013262718174937634,0.0013017014561738165,0.0686214560891381,8540000,103703
24,V,left_tip,0.0020029741289573928,0.001589811770086742,0.9437906243783794,234500,3306
25,V,left_arm,0.001507812683042451,0.001351301361882295,0.42103445298975817,3265500,33320
26,V,center,0.0007925016952669123,0.0009303326745984722,-0.5385732878712254,10778500,40442
27,V,right_arm,0.0023239296620998,0.002447991670513695,-0.1842307903284169,17521000,42012
28,V,right_tip,0.0011780110839570608,0.0013673187869662343,-0.5025665949173639,19740000,2390
29,V,full,0.0012986869557983828,0.001341851446610949,-0.11694598500834018,9966500,121471
30,X,left_tip,0.0007912040910779607,0.0012121059620856872,-1.261900123748318,722000,8002
31,X,left_arm,0.0013603434372555726,0.0012237197995051945,0.4058532849911076,4255000,31370
32,X,center,0.0007646045975889678,0.0008839204121003452,-0.490711933271339,12794000,45221
33,X,right_arm,0.001369354450653357,0.001281202034083384,0.2501003458187718,20341500,21240
34,X,right_tip,0.0003105332132821226,0.0002166716187580996,1.474552740581476,22191000,71
35,X,full,0.0010130372960206193,0.001054770031825214,-0.14384052019903695,11110500,105904
