,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0005235742137574699,0.0008675849216086709,-1.3026814915271638,194000,1914
1,I,left_arm,0.0011138172155085236,0.0013015872280900678,-0.475308414936368,1789500,19628
2,I,center,0.00023904210225785525,0.0005125338906601684,-1.7582849299923844,7199500,23430
3,I,right_arm,0.0017296792647518236,0.0019629040493641986,-0.3915361554580507,13089000,40820
4,I,right_tip,0.0009692018023599661,0.0011665777258898307,-0.5568361168740155,15255500,3864
5,I,full,0.0007253062845128193,0.0009757621874651579,-0.8459062378786709,7770500,89656
6,II,left_tip,0.0005865434788777975,0.0011370949936806186,-1.5933632828426243,283000,3469
7,II,left_arm,0.0010817800882446213,0.001261339562902105,-0.46902464946256883,1988000,18908
8,II,center,0.0006283893331353362,0.0007878912379464894,-0.6671350366106523,8699000,46999
9,II,right_arm,0.0019983088390426486,0.002171446113094331,-0.26273224478241286,15279500,28713
10,II,right_tip,0.0004434757578435111,0.000331744038283809,0.977816446355095,16583000,50
11,II,full,0.000876335191024643,0.0010543676876348192,-0.5564750582145449,8297500,98139
12,III,left_tip,0.001101226530127145,0.0012587686551394806,-0.4120463714682,358000,5276
13,III,left_arm,0.0020436040166424974,0.0018546307748237446,0.3357517989003329,2340500,33755
14,III,center,0.00035103020697396656,0.0006319847774424168,-1.4649125325985466,7894500,28221
15,III,right_arm,0.0014699147476603513,0.0014740647399389428,-0.009275217656832657,12909500,17924
16,III,right_tip,0.0006052739417658573,0.0011887068181721432,-1.6159909889169057,14403000,5657
17,III,full,0.0008511771180388237,0.0010231966027090188,-0.5540549549887412,7405500,90833
18,IV,left_tip,0.0021609662862244186,0.0021615938916185844,-0.0009563293989650871,351000,8347
19,IV,left_arm,0.0011724540416486406,0.0015061946556692023,-0.7301482335644208,2475000,29755
20,IV,center,0.0006551678167584063,0.0008394251640613362,-0.7233606390932497,8845000,43974
21,IV,right_arm,0.0019972952386124515,0.0021317789532940934,-0.2078763688207938,14904000,32902
22,IV,right_tip,0.001363238205762497,0.0018953795787467428,-0.9246763440790607,16723000,7710
23,IV,full,0.0010383106348915182,0.001253585616320648,-0.5659571092646458,8540000,122688
24,V,left_tip,0.0015160614700299518,0.001086550661489834,1.3005872482152883,234500,2777
25,V,left_arm,0.0010805755920349405,0.0011489294633457694,-0.19604963484697213,3265500,34949
26,V,center,0.000502034668184957,0.0006403465836351373,-0.7117768020600135,10778500,34199
27,V,right_arm,0.0019616690464565947,0.002078735528065578,-0.18558428795922424,17521000,45110
28,V,right_tip,0.001039200239769033,0.0012428554479597149,-0.5390552070754542,19740000,2627
29,V,full,0.0009566453770798063,0.001059141082415881,-0.31893045886894805,9966500,119662
30,X,left_tip,0.0005488035391531132,0.000818180896726154,-1.0843487953356845,722000,6706
31,X,left_arm,0.0006281094441627666,0.0008671326603004432,-0.9083202862665223,4255000,27261
32,X,center,0.0003920932259904814,0.0006285835753464164,-1.2398242892801157,12794000,39510
33,X,right_arm,0.000931329211528662,0.0011340167832455392,-0.5889447775189416,20341500,23464
34,X,right_tip,0.00022077387476418693,0.0001531813997651685,1.3200598674627455,22191000,85
35,X,full,0.000548427384094866,0.0007817245092063415,-0.983551553518677,11110500,97026
