,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.00016479987424650278,0.0003095390334903748,-1.6791045217547538,194000,573
1,I,left_arm,0.0007457953763954406,0.0010604828287022923,-1.0740732997693436,1789500,13100
2,I,center,0.0004622488077048274,0.0006016968900537198,-0.8390317408981655,7199500,23181
3,I,right_arm,0.0015881310680192291,0.001879139712005033,-0.5606619743328303,13089000,32233
4,I,right_tip,0.000866013855340521,0.001271022785355077,-1.1523963688313188,15255500,3534
5,I,full,0.000753909396193025,0.000962969799307157,-0.7860534051909935,7770500,72621
6,II,left_tip,0.00016291988019679425,0.0002839490083215878,-1.5347736118193693,283000,717
7,II,left_arm,0.0008641263618736867,0.00089249696597184,-0.11505121355883348,1988000,10901
8,II,center,0.0003466917993398324,0.00047906312906148416,-1.0003340738567263,8699000,24431
9,II,right_arm,0.0017194479500963777,0.0014978994386370317,0.5354042483194447,15279500,15982
10,II,right_tip,0.0003587160526404632,0.0006479378070977709,-1.5141394383277906,16583000,61
11,II,full,0.0005995688424906291,0.000669138750709148,-0.37643347515967807,8297500,52092
12,III,left_tip,0.0003240445332051887,0.0005090124396104601,-1.312520650260026,358000,1759
13,III,left_arm,0.0010104476780598147,0.0012181984603240417,-0.6173325196144256,2340500,18024
14,III,center,0.00021240769005473017,0.0003016815759213702,-1.0711148793327694,7894500,11492
15,III,right_arm,0.0006137979048323697,0.0008491178688480965,-1.0028463700253039,12909500,8475
16,III,right_tip,0.0007686304499274842,0.0008664590063472753,-0.4082932152486841,14403000,3462
17,III,full,0.0004457890326197862,0.0005799022629274505,-0.8373140383677299,7405500,43212
18,IV,left_tip,0.0005498119120208993,0.001204153578777737,-1.9655846500265837,351000,3861
19,IV,left_arm,0.0008014800101641158,0.0008698143420432136,-0.28438188602437686,2475000,14088
20,IV,center,0.0004262822035016564,0.000528127140854262,-0.6981428283122666,8845000,22538
21,IV,right_arm,0.0011469292455904673,0.0010700070579895964,0.2602103851644454,14904000,13836
22,IV,right_tip,0.0006818139555709782,0.0007058756214535745,-0.12321195866625749,16723000,2491
23,IV,full,0.0006172359905320133,0.0007083069308586726,-0.4655279257976044,8540000,56814
24,V,left_tip,0.00034518504477726693,0.000882702432502928,-2.2005790764299493,234500,1884
25,V,left_arm,0.00080862158930444,0.0013187248313068763,-1.4004550602250445,3265500,33776
26,V,center,0.00044109924809225017,0.0008154290396086299,-1.6620388256327967,10778500,36288
27,V,right_arm,0.000869254453669155,0.0010349779429223833,-0.5796531426105358,17521000,18146
28,V,right_tip,0.00019865588801594417,0.00030974451063179567,-1.2896700164700619,19740000,552
29,V,full,0.0006092466108641342,0.0009813541044224842,-1.372913311016054,9966500,90646
30,X,left_tip,0.0003375218448559069,0.0008012437127630649,-2.094211046183445,722000,5320
31,X,left_arm,0.0008151454861595228,0.0015229044294011427,-1.6826383185882958,4255000,40266
32,X,center,0.00047914142639193086,0.001006006299292035,-1.8962136147731579,12794000,53262
33,X,right_arm,0.0012392218227479622,0.0016314634935748673,-0.8704296806765939,20341500,27859
34,X,right_tip,0.00020459922064292496,0.00013721914809463579,1.6076662835945508,22191000,81
35,X,full,0.0006749887908527667,0.001220538531159132,-1.6184146061948417,11110500,126788
