"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","QG3932","A",1e-05,0.343093,13.225206,-59.588132,"Caribbean","Tropical"
"2","NIC1069","A",1e-05,0.355736,20.67859,-88.56941,"Central America","Tropical"
"3","QG3801","A",1e-05,0.375392,10.43082,-84.01138,"Central America","Tropical"
"4","NIC1204","A",1e-05,0.387271,26.22481,119.99506,"Asia","Tropical"
"5","JU2861","A",1e-05,0.389996,52.1944,0.1264,"Europe","Tropical"
"6","QG1005","A",1e-05,0.404843,9.170573,-79.84316,"Central America","Tropical"
"7","JU1913","A",1e-05,0.414293,-20.37,148.85,"Australia","Tropical"
"8","HPT52","A",1e-05,0.431434,-8.5405,115.1725,"Pacific","Tropical"
"9","QX1795","A",1e-05,0.436248,20.9818,-156.5463,"Hawaii","Tropical"
"10","NIC777","A",1e-05,0.44084,15.5868,-61.47083,"Caribbean","Tropical"
"11","QG3032","A",1e-05,0.458205,9.163366667,-79.8447333,"Central America","Tropical"
"12","NIC1202","A",1e-05,0.458983,26.22481,119.99506,"Asia","Tropical"
"13","JU2836","A",1e-05,0.461947,20.66143,-105.253201,"Central America","Tropical"
"14","JU1814","A",1e-05,0.462653,4.9459,-52.316883,"South America","Tropical"
"15","EG6329","A",1e-05,0.465908,18.3,-65.8,"Caribbean","Tropical"
"16","XZ1204","A",1e-05,0.467556,-23.571,-46.647,"South America","Tropical"
"17","NIC583","A",1e-05,0.46845,15.40368,-61.34699,"Caribbean","Tropical"
"18","ECA288","A",1e-05,0.473352,9.926663289,-84.04235373,"Central America","Tropical"
"19","QG3019","A",1e-05,0.479335,9.163116667,-79.8372,"Central America","Tropical"
"20","QG808","A",1e-05,0.487511,9.1491,-79.856143,"Central America","Tropical"
"21","NIC985","A",1e-05,0.490896,4.03726,-52.67243,"South America","Tropical"
"22","JU2457","A",1e-05,0.492758,-12.801653,-69.289488,"South America","Temperate"
"23","QG5612","A",1e-05,0.501526,6.9578,158.2086,"Pacific","Tropical"
"24","BRC20463","A",1e-05,0.502261,24.822658,121.735926,"Taiwan","TH"
"25","NIC1106","A",1e-05,0.503299,3.45893,-76.531944,"South America","Tropical"
"26","ZZY1034","A",1e-05,0.503839,22.38478428,113.9664658,"Asia","Tropical"
"27","QG880","A",1e-05,0.505106,9.15445,-79.83205,"Central America","Tropical"
"28","NIC555","A",1e-05,0.507367,15.58933,-61.47222,"Caribbean","Tropical"
"29","QG3925","A",1e-05,0.513595,13.233538,-59.587865,"Caribbean","Tropical"
"30","NIC1630","A",1e-05,0.514336,25.02782,121.57627,"Taiwan","TH"
"31","QG2848","A",1e-05,0.515558,-27.4627778,152.9905556,"Australia","Tropical"
"32","QG2659","A",1e-05,0.518016,9.153933333,-79.83166667,"Central America","Tropical"
"33","QG736","A",1e-05,0.518051,9.155514,-79.848903,"Central America","Tropical"
"34","EG6267","A",1e-05,0.518309,18.45,-66,"Caribbean","Tropical"
