isotype	Sublineage	Lineage	lat	long	geo	geo_color	abslat	subpop	adm_color	lineage_color	sublineage_color
JU2767	NWD	NWD	48.50481	3.246	Cosmopolitan	gray30	48.50481	Cosmopolitan	white	#00ff00	#00ff00
ED3102	NWD	NWD	-1.316667	36.8	Africa	#A6D854	1.316667	Admixed	gray80	#00ff00	#00ff00
ECA276	NWD	NWD	42.496411	-88.240099	North America	#A65628	42.496411	Admixed	gray80	#00ff00	#00ff00
ECA163	NWD	NWD	42.361025	-88.427841	North America	#A65628	42.361025	Admixed	gray80	#00ff00	#00ff00
HPT18	ID	ID	-7.8234117	112.5873372	Pacific	#611EA1	7.8234117	H	#FFDA90	#6a329f	#6a329f
HPT24	ID	ID	-8.531795	116.239193	Pacific	#611EA1	8.531795	H	#FFDA90	#6a329f	#6a329f
HPT11	ID	ID	-7.8	112.516	Pacific	#611EA1	7.8	H	#FFDA90	#6a329f	#6a329f
VX34	Hubei	Hubei	31.750834	113.98333	Asia	#399EB8	31.750834	Admixed	gray80	#16537e	#16537e
JU3326	Hubei	Hubei	31.23025	121.3955	Asia	#399EB8	31.23025	Admixed	gray80	#16537e	#16537e
QR25	Quebec	Quebec	45.545448	-73.639076	Cosmopolitan	gray30	45.545448	Cosmopolitan	white	#ff037e	#ff037e
BRC20324	TD1	TD1	24.03965278	121.155	Taiwan	#E5C494	24.03965278	Admixed	gray80	#f3c588	#f3c588
TWN1824	TD1	TD1	24.69027778	121.4055556	Taiwan	#E5C494	24.69027778	F	#FFE5CA	#f3c588	#f3c588
BRC20232	TD1	TD1	23.60247	120.8838617	Taiwan	#E5C494	23.60247	F	#FFE5CA	#f3c588	#f3c588
NIC827	TD1	TD1	23.60233	120.88182	Taiwan	#E5C494	23.60233	F	#FFE5CA	#f3c588	#f3c588
BRC20229	TD1	TD1	23.572084	120.900213	Taiwan	#E5C494	23.572084	F	#FFE5CA	#f3c588	#f3c588
NIC19	TD1	TD1	25.15219	121.54461	Taiwan	#E5C494	25.15219	Admixed	gray80	#f3c588	#f3c588
NIC1540	TD1	TD1	25.05792	121.77076	Taiwan	#E5C494	25.05792	J	#05E51B	#f3c588	#f3c588
BRC20343	TD1	TD1	24	121	Taiwan	#E5C494	24	J	#05E51B	#f3c588	#f3c588
BRC20524	TD1	TD1	25.1839015	121.5206295	Taiwan	#E5C494	25.1839015	J	#05E51B	#f3c588	#f3c588
BRC20522	TD1	TD1	25.1839015	121.5206295	Taiwan	#E5C494	25.1839015	J	#05E51B	#f3c588	#f3c588
NIC20	TD1	TD1	24.47058	120.97781	Taiwan	#E5C494	24.47058	E	#563901	#f3c588	#f3c588
NIC1593	TD1	TD1	24.68622	121.13734	Taiwan	#E5C494	24.68622	E	#563901	#f3c588	#f3c588
NIC21	TD1	TD1	24.47605	120.99481	Taiwan	#E5C494	24.47605	E	#563901	#f3c588	#f3c588
NIC1589	TD1	TD1	24.68622	121.13734	Taiwan	#E5C494	24.68622	E	#563901	#f3c588	#f3c588
TWN1899	TD1	TD1	25.16666667	121.5166667	Taiwan	#E5C494	25.16666667	E	#563901	#f3c588	#f3c588
NIC22	TD1	TD1	24.19177	121.01531	Taiwan	#E5C494	24.19177	E	#563901	#f3c588	#f3c588
BRC20075	TD1	TD1	24.790015	121.374604	Taiwan	#E5C494	24.790015	E	#563901	#f3c588	#f3c588
BRC20530	TD1	TD1	23.33725	120.712389	Taiwan	#E5C494	23.33725	E	#563901	#f3c588	#f3c588
NIC1665	TD1	TD1	23.66654	120.79295	Taiwan	#E5C494	23.66654	E	#563901	#f3c588	#f3c588
NIC1664	TD1	TD1	23.66109	120.7967	Taiwan	#E5C494	23.66109	E	#563901	#f3c588	#f3c588
NIC1591	TD1	TD1	24.68622	121.13734	Taiwan	#E5C494	24.68622	Admixed	gray80	#f3c588	#f3c588
BRC20347	TD1	TD1	25.121206	121.593578	Taiwan	#E5C494	25.121206	E	#563901	#f3c588	#f3c588
BRC20531	TD1	TD1	23.792667	120.798083	Taiwan	#E5C494	23.792667	E	#563901	#f3c588	#f3c588
NIC825	TD1	TD1	23.60246	120.88278	Taiwan	#E5C494	23.60246	E	#563901	#f3c588	#f3c588
NIC816	TD1	TD1	23.81417	120.856	Taiwan	#E5C494	23.81417	E	#563901	#f3c588	#f3c588
NIC828	TD1	TD1	23.60197	120.88157	Taiwan	#E5C494	23.60197	E	#563901	#f3c588	#f3c588
BRC20239	TD1	TD1	23.60095833	120.8821883	Taiwan	#E5C494	23.60095833	E	#563901	#f3c588	#f3c588
NIC819	TD2	TD2	23.81418	120.85581	Taiwan	#E5C494	23.81418	P	#000F2D	#ffdd02	#ffdd02
BRC20541	TD2	TD2	22.924056	120.543	Taiwan	#E5C494	22.924056	P	#000F2D	#ffdd02	#ffdd02
NIC1607	TD2	TD2	22.0861	120.84222	Taiwan	#E5C494	22.0861	P	#000F2D	#ffdd02	#ffdd02
BRC20115	TD2	TD2	24.114	120.8694	Taiwan	#E5C494	24.114	Admixed	gray80	#ffdd02	#ffdd02
BRC20519	TD2	TD2	21.958778	120.811764	Taiwan	#E5C494	21.958778	P	#000F2D	#ffdd02	#ffdd02
BRC20520	TD2	TD2	21.958778	120.811764	Taiwan	#E5C494	21.958778	P	#000F2D	#ffdd02	#ffdd02
BRC20492	TD2	TD2	21.958635	120.811847	Taiwan	#E5C494	21.958635	P	#000F2D	#ffdd02	#ffdd02
NIC893	TD3	TD3	22.00932	121.57214	Taiwan	#E5C494	22.00932	Admixed	gray80	#00f4c2	#00f4c2
BRC20503	TD3	TD3	22.020651	121.572794	Taiwan	#E5C494	22.020651	Admixed	gray80	#00f4c2	#00f4c2
BRC20502	TD3	TD3	22.020651	121.572794	Taiwan	#E5C494	22.020651	Admixed	gray80	#00f4c2	#00f4c2
JU1341	KD	KD	8.7633	77.114	Asia	#399EB8	8.7633	K	#02491E	#8b3700	#8b3700
JU1348	KD	KD	9.55	77.2	Asia	#399EB8	9.55	K	#02491E	#8b3700	#8b3700
VSL2207	KD	KD	12.42865	75.7624	Asia	#399EB8	12.42865	K	#02491E	#8b3700	#8b3700
VSL2209	KD	KD	12.3692	75.9012	Asia	#399EB8	12.3692	K	#02491E	#8b3700	#8b3700
JU3206	KD	KD	13.07251	77.57924	Asia	#399EB8	13.07251	K	#02491E	#8b3700	#8b3700
JU3201	KD	KD	13.0222	77.5676	Asia	#399EB8	13.0222	K	#02491E	#8b3700	#8b3700
JU3200	KD	KD	13.0232	77.5668	Asia	#399EB8	13.0232	K	#02491E	#8b3700	#8b3700
JU2801	KD	KD	45.53356	5.10234	Cosmopolitan	gray30	45.53356	Cosmopolitan	white	#8b3700	#8b3700
JU3203	KD	KD	13.0727	77.579	Asia	#399EB8	13.0727	K	#02491E	#8b3700	#8b3700
JU3202	KD	KD	13.02272	77.56866	Asia	#399EB8	13.02272	K	#02491E	#8b3700	#8b3700
QG2908	AD	AD	-17.2643833	145.4884833	Australia	#FC8D62	17.2643833	C	#FF6C93	#ff8200	#ff8200
QG2893	AD	AD	-16.1026	145.4467333	Australia	#FC8D62	16.1026	C	#FF6C93	#ff8200	#ff8200
QG4232	AD	AD	-21.16862222	148.5080167	Australia	#FC8D62	21.16862222	Admixed	gray80	#ff8200	#ff8200
QG4208	AD	AD	-21.1695006	148.5079426	Australia	#FC8D62	21.1695006	C	#FF6C93	#ff8200	#ff8200
QG4093	AD	AD	-21.16862222	148.5080167	Australia	#FC8D62	21.16862222	C	#FF6C93	#ff8200	#ff8200
QG2919	AD	AD	-20.28785	148.7653	Australia	#FC8D62	20.28785	Admixed	gray80	#ff8200	#ff8200
ECA2670	AD	AD	-26.3588565	152.6355008	Australia	#FC8D62	26.3588565	G	#FFB914	#ff8200	#ff8200
ECA2621	AD	AD	-26.6275648	152.8409822	Australia	#FC8D62	26.6275648	G	#FFB914	#ff8200	#ff8200
ECA2639	AD	AD	-26.26204861	152.8294249	Australia	#FC8D62	26.26204861	G	#FFB914	#ff8200	#ff8200
QG4031	AD	AD	-26.26193056	152.8296722	Australia	#FC8D62	26.26193056	G	#FFB914	#ff8200	#ff8200
QG4026	AD	AD	-26.26193056	152.8296722	Australia	#FC8D62	26.26193056	G	#FFB914	#ff8200	#ff8200
ECA2617	AD	AD	-26.26214444	152.8295528	Australia	#FC8D62	26.26214444	G	#FFB914	#ff8200	#ff8200
QG4028	AD	AD	-26.26193056	152.8296722	Australia	#FC8D62	26.26193056	G	#FFB914	#ff8200	#ff8200
ECA2618	AD	AD	-26.2619772	152.8296094	Australia	#FC8D62	26.2619772	G	#FFB914	#ff8200	#ff8200
QG2891	AD	AD	-16.1026	145.4467333	Australia	#FC8D62	16.1026	G	#FFB914	#ff8200	#ff8200
QG4063	AD	AD	-21.1461744	148.4998921	Australia	#FC8D62	21.1461744	G	#FFB914	#ff8200	#ff8200
QG4132	AD	AD	-21.17034722	148.5080417	Australia	#FC8D62	21.17034722	G	#FFB914	#ff8200	#ff8200
QG4096	AD	AD	-21.16879444	148.506575	Australia	#FC8D62	21.16879444	G	#FFB914	#ff8200	#ff8200
QG4131	AD	AD	-21.17034722	148.5080417	Australia	#FC8D62	21.17034722	G	#FFB914	#ff8200	#ff8200
QG4097	AD	AD	-21.16879444	148.506575	Australia	#FC8D62	21.16879444	G	#FFB914	#ff8200	#ff8200
QG4225	AD	AD	-21.14559444	148.4993528	Australia	#FC8D62	21.14559444	G	#FFB914	#ff8200	#ff8200
QG4214	AD	AD	-21.1448256	148.4984929	Australia	#FC8D62	21.1448256	G	#FFB914	#ff8200	#ff8200
QG4104	AD	AD	-21.14488889	148.498225	Australia	#FC8D62	21.14488889	G	#FFB914	#ff8200	#ff8200
QG4064	AD	AD	-21.1453727	148.4997337	Australia	#FC8D62	21.1453727	G	#FFB914	#ff8200	#ff8200
QG4114	AD	AD	-21.144475	148.4999222	Australia	#FC8D62	21.144475	G	#FFB914	#ff8200	#ff8200
QG4068	AD	AD	-21.1453727	148.4997337	Australia	#FC8D62	21.1453727	G	#FFB914	#ff8200	#ff8200
QG4067	AD	AD	-21.1453727	148.4997337	Australia	#FC8D62	21.1453727	G	#FFB914	#ff8200	#ff8200
ECA2666	AD	AD	-21.16771623	148.504728	Australia	#FC8D62	21.16771623	G	#FFB914	#ff8200	#ff8200
ECA2647	AD	AD	-21.1683872	148.5075834	Australia	#FC8D62	21.1683872	G	#FFB914	#ff8200	#ff8200
QG4095	AD	AD	-21.16862222	148.5080167	Australia	#FC8D62	21.16862222	G	#FFB914	#ff8200	#ff8200
QG4233	AD	AD	-21.16862222	148.5080167	Australia	#FC8D62	21.16862222	Admixed	gray80	#ff8200	#ff8200
QG4094	AD	AD	-21.16862222	148.5080167	Australia	#FC8D62	21.16862222	Admixed	gray80	#ff8200	#ff8200
NIC96	TS2	Tropical	4.08747	-52.67394	South America	#E78AC3	4.08747	N	#01A4B1	#ff0000	#ff77ab
NIC1491	TS2	Tropical	4.087902037	-52.67994803	South America	#E78AC3	4.087902037	N	#01A4B1	#ff0000	#ff77ab
NIC1442	TS2	Tropical	4.055087976	-52.67817702	South America	#E78AC3	4.055087976	N	#01A4B1	#ff0000	#ff77ab
NIC1135	TS2	Tropical	-12.87313996	-69.49687704	South America	#E78AC3	12.87313996	N	#01A4B1	#ff0000	#ff77ab
NIC1190	TS2	Tropical	-12.88059298	-69.48706903	South America	#E78AC3	12.88059298	N	#01A4B1	#ff0000	#ff77ab
NIC1138	TS2	Tropical	-12.872112	-69.49822702	South America	#E78AC3	12.872112	N	#01A4B1	#ff0000	#ff77ab
