samples	cluster	lat	long	geo
AF16	B	23.03	72.56	Asia
BRC20073	U	25.04655556	121.6149472	Taiwan
BRC20075	F	24.790015	121.374604	Taiwan
BRC20077	U	24.793571	121.364232	Taiwan
BRC20089	U	25.15533333	121.5465611	Taiwan
BRC20093	U	23.94991389	121.5518917	Taiwan
BRC20095	U	24.74725	121.746266	Taiwan
BRC20098	U	25.04372222	121.6160639	Taiwan
BRC20103	V	25.04655556	121.6149472	Taiwan
BRC20115	S	24.114	120.8694	Taiwan
BRC20228	U	23.572084	120.900213	Taiwan
BRC20229	F	23.572084	120.900213	Taiwan
BRC20230	D	23.670695	120.798589	Taiwan
BRC20232	F	23.60247	120.8838617	Taiwan
BRC20238	H	23.814211	120.856072	Taiwan
BRC20239	F	23.60095833	120.8821883	Taiwan
BRC20246	H	23.600568	120.883395	Taiwan
BRC20257	I	NA	NA	unknown
BRC20260	U	23.600208	120.883767	Taiwan
BRC20289	D	25.01947778	121.9432	Taiwan
BRC20290	D	25.01947778	121.9432	Taiwan
BRC20308	K	24.70210833	121.73775	Taiwan
BRC20309	K	24.70210833	121.73775	Taiwan
BRC20312	K	24.70210833	121.73775	Taiwan
BRC20315	K	24.70210833	121.73775	Taiwan
BRC20331	K	25.01947778	121.9432	Taiwan
BRC20334	K	24.70731	121.738054	Taiwan
BRC20343	F	24	121	Taiwan
BRC20346	D	24.84201944	121.9516639	Taiwan
BRC20347	F	25.121206	121.593578	Taiwan
BRC20353	G	14	101	Asia
BRC20360	G	14	101	Asia
BRC20361	G	14	101	Asia
BRC20362	G	14	101	Asia
BRC20366	K	25.11698	121.733184	Taiwan
BRC20367	D	24.54670963	121.5069174	Taiwan
BRC20369	V	23.7132	120.7855556	Taiwan
BRC20370	K	24.77555556	121.5802778	Taiwan
BRC20388	R	34	135	Pacific
BRC20390	H	25.027105	121.576542	Taiwan
BRC20401	U	25.017012	121.557477	Taiwan
BRC20492	S	21.958635	120.811847	Taiwan
BRC20502	M	22.020651	121.572794	Taiwan
BRC20503	M	22.020651	121.572794	Taiwan
BRC20519	S	21.958778	120.811764	Taiwan
BRC20520	S	21.958778	120.811764	Taiwan
BRC20522	F	25.1839015	121.5206295	Taiwan
BRC20524	F	25.1839015	121.5206295	Taiwan
BRC20529	D	23.63725	120.685389	Taiwan
BRC20530	F	23.33725	120.712389	Taiwan
BRC20531	F	23.792667	120.798083	Taiwan
BRC20537	H	23.416972	121.275389	Taiwan
BRC20541	S	22.924056	120.543	Taiwan
BRC20543	H	23.792667	120.798083	Taiwan
BRC20556	U	24.822538	121.73566	Taiwan
BW287	R	NA	NA	unknown
ECA1129	B	19.71867222	-155.10835	Hawaii
ECA1170	D	21.40083	-157.8887	Hawaii
ECA1174	B	20.0403	-155.442	Hawaii
ECA1411	B	22.053192	-159.365224	Hawaii
ECA1429	B	22.061725	-159.346309	Hawaii
ECA1437	B	22.034472	-159.37943	Hawaii
ECA1471	B	21.311842	-157.76172	Hawaii
ECA1507	B	21.310911	-157.79492	Hawaii
ECA1509	B	21.3184	-157.81864	Hawaii
ECA1517	B	21.317117	-157.81976	Hawaii
ECA1559	D	21.401228	-157.88682	Hawaii
ECA1563	B	21.307381	-157.79664	Hawaii
ECA1609	B	21.329439	-157.82219	Hawaii
ECA1611	B	21.317486	-157.81858	Hawaii
ECA1615	B	21.317486	-157.81858	Hawaii
ECA163	O	42.361025	-88.427841	North America
ECA183	B	21.258435	-157.766307	Hawaii
ECA185	B	21.296233	-157.701988	Hawaii
ECA2083	B	21.320797	-157.81977	Hawaii
ECA2385	H	19.120342	-155.8204	Hawaii
ECA2617	A	-26.26214444	152.8295528	Australia
ECA2618	A	-26.2619772	152.8296094	Australia
ECA2621	A	-26.6275648	152.8409822	Australia
ECA2623	P	12.17453	-61.62731	Caribbean
ECA2639	A	-26.26204861	152.8294249	Australia
ECA2645	B	-26.62221389	152.6910056	Australia
ECA2647	A	-21.1683872	148.5075834	Australia
ECA2663	B	-26.6213395	152.6923809	Australia
ECA2666	A	-21.16771623	148.504728	Australia
ECA2670	A	-26.3588565	152.6355008	Australia
ECA276	O	42.496411	-88.240099	North America
ECA278	R	42.496411	-88.240099	North America
ECA287	D	9.926663289	-84.04235373	Central America
ECA2883	B	21.3570225	-157.764294100002	Hawaii
ECA2890	B	21.355772099999	-157.765345699999	Hawaii
ECA2936	D	22.0644490999379	-159.348913899999	Hawaii
ECA3091	B	21.3291450999972	-157.821195300002	Hawaii
ECA343	B	21.3166667	-157.8202778	Hawaii
ECA3509	B	22.081717	-159.412804972222	Hawaii
ECA3708	B	21.5737944444444	-158.208613888889	Hawaii
ECA371	B	22.0286111	-159.3825	Hawaii
ECA3712	B	21.6306611111111	-158.047866666667	Hawaii
ECA3899	B	21.8748138888889	-159.441647222222	Hawaii
ECA4390	P	16.1761	-61.6951	Caribbean
ECA569	R	42.361085	-88.4278679	North America
ED3032	U	25.158056	121.515831	Taiwan
ED3102	O	-1.316667	36.8	Africa
EG4360	R	40.6	-111.8	North America
EG5612	G	-23.18	-44.19	South America
EG6265	D	18.11	-66.16	Caribbean
GUN124	R	42.4675	-76.48722222	North America
HK104	R	34.66	133.9	Pacific
HPT11	N	-7.8	112.516	Pacific
HPT18	N	-7.8234117	112.5873372	Pacific
HPT21	V	-7.8254539	112.5897866	Pacific
HPT24	N	-8.531795	116.239193	Pacific
HPT54	V	-8.530492	115.164917	Pacific
HPT55	V	-8.53075	115.164939	Pacific
HPT59	V	-8.52519	115.16689	Pacific
HPT60	V	-8.52522	115.16686	Pacific
HPT62	I	-8.41222	115.58591	Pacific
HPT63	V	-8.37285	115.4541	Pacific
JU1085	R	34.7615	138.0168	Pacific
JU1338	G	8.509	76.956	Asia
JU1341	E	8.7633	77.114	Asia
JU1346	G	9.55	76.8	Asia
JU1348	E	9.55	77.2	Asia
JU1424	G	22.4	105.6	Asia
JU1564	R	40.86	-73.47	North America
JU2053	B	21.96385	-159.35838	Hawaii
JU2054	B	21.96385	-159.35838	Hawaii
JU2056	B	22.219	-159.5763	Hawaii
JU2057	I	-12.77	45.14	Africa
JU2160	I	-6.2709	39.417	Africa
JU2162	I	-6.2715	39.416	Africa
JU2216	D	-6.480251	-76.356593	South America
JU2470	I	-12.732834	45.186209	Africa
JU2518	L	48.7015	2.1725	Europe
JU2536	R	47.645976	19.274783	Europe
