Sample A	Sample B	Comparison	Comparison_within	Haplotypes	Mean Ks
ECA1174	ECA1657	within_species	Tropical_x_Tropical	Among HDRs	0.00355452845594622
ECA1174	ECA176	within_species	Tropical_x_Tropical	Among HDRs	0.00601336362954761
ECA1174	EG6271	within_species	Tropical_x_Tropical	Among HDRs	0.00753616214987352
ECA1174	JU3207	within_species	Tropical_x_Tropical	Among HDRs	0.00514775795401734
ECA1174	JU3237	within_species	Tropical_x_Tropical	Among HDRs	0.0118126651865791
ECA1174	JU4058	within_species	Tropical_x_Tropical	Among HDRs	0.00418466025583509
ECA1174	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.00955196740144139
ECA1174	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.00642994033440586
ECA1174	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00224896181482413
ECA1174	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.00327354158052743
ECA1174	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.0100234810841078
ECA1174	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00750400449726172
ECA1174	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00836827891772488
ECA1174	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.00944317085116143
ECA1174	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00829587423794564
ECA1174	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00792325231684768
ECA1174	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00665047392902675
ECA1174	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00141723009535959
ECA1657	ECA176	within_species	Tropical_x_Tropical	Among HDRs	0.00424260507472475
ECA1657	EG6271	within_species	Tropical_x_Tropical	Among HDRs	0.00776274212323124
ECA1657	JU3207	within_species	Tropical_x_Tropical	Among HDRs	0.00559471206775269
ECA1657	JU3237	within_species	Tropical_x_Tropical	Among HDRs	0.00911313320216161
ECA1657	JU4058	within_species	Tropical_x_Tropical	Among HDRs	0.00505713437001259
ECA1657	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.00959130719548277
ECA1657	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.00495578408770226
ECA1657	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00197426459733165
ECA1657	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.00300481951959458
ECA1657	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00875491846766832
ECA1657	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00832872637355805
ECA1657	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00948080125425032
ECA1657	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.00871274903834276
ECA1657	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00786018549256533
ECA1657	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00820195658169347
ECA1657	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00668898202014349
ECA1657	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00354929050834412
ECA176	EG6271	within_species	Tropical_x_Tropical	Among HDRs	0.00873867846232394
ECA176	JU3207	within_species	Tropical_x_Tropical	Among HDRs	0.00815000705685838
ECA176	JU3237	within_species	Tropical_x_Tropical	Among HDRs	0.00762475977100608
ECA176	JU4058	within_species	Tropical_x_Tropical	Among HDRs	0.00855803097849525
ECA176	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.00612610947176016
ECA176	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.0072171184605316
ECA176	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00678746895476019
ECA176	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.00598446371540353
ECA176	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00638182307338707
ECA176	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00524042928218952
ECA176	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00549258389160366
ECA176	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.00561030610477471
ECA176	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00449828303687936
ECA176	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00603609401257478
ECA176	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00363473557626881
ECA176	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00481189940517371
EG6271	JU3207	within_species	Tropical_x_Tropical	Among HDRs	0.00963033040408994
EG6271	JU3237	within_species	Tropical_x_Tropical	Among HDRs	0.0120957012557413
EG6271	JU4058	within_species	Tropical_x_Tropical	Among HDRs	0.00952701705696774
EG6271	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.00526596180131292
EG6271	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.00529071820141372
EG6271	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00221068691286795
EG6271	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.00662523026647118
EG6271	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00528052412429225
EG6271	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00644227422760606
EG6271	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00847834246557001
