Group	Autosome arms	Autosome centers	X arms	X center	fold change autosome arms/centers	fold change X arms/centers	Stat	Number of strains	Study
Global	0.00641166326550743	0.00336562850849358	0.00498516028104386	0.00392938088476808	1.90504188127918	1.26868848483699	π	713	This study
Tropical	0.00341007816789842	0.00115025810975315	0.00148264462353668	0.000874754928519019	2.96461997440752	1.69492571599092	π	501	This study
Temperate	0.00165267298030947	0.000530132501352499	0.00142376575458937	0.000661738317412553	3.11747153040624	2.15155404655483	π	28	This study
TH	0.00271632926128292	0.000718137884521621	0.00118240973026483	0.000521701897736141	3.78246200322989	2.26644705605968	π	95	This study
TD1	0.00310861391565049	0.00115879233040687	0.00197761560302297	0.000998383057831159	2.68263245629094	1.98081847193907	π	27	This study
KD	0.00246343658603105	0.000846402319042124	0.00091001739655543	0.000585484229130855	2.91047948547557	1.55429873475216	π	10	This study
AD	0.00235937504312573	0.00113153023211278	0.00136250984802675	0.000824360632644794	2.08511887368694	1.6528079994012	π	32	This study
Global	0.013238888940775	0.00740894809131466	0.00975834392722443	0.00823317808849829	1.78687835001769	1.18524630735934	θW	713	This study
Tropical	0.00594555365843714	0.00251493802400639	0.00314236085951474	0.0022871960026906	2.36409549725828	1.37389224877018	θW	501	This study
Temperate	0.00336319593298252	0.00150880433521936	0.00262909995417523	0.00170132166593221	2.22904710337643	1.54532796873227	θW	28	This study
TH	0.00394056199141923	0.00163191370556643	0.00247513151918839	0.00170257530341726	2.41468772397587	1.45375744275188	θW	95	This study
TD1	0.00407290282046106	0.00184404229713602	0.00276143998848716	0.00219374930402643	2.20868188695384	1.25877646247855	θW	27	This study
KD	0.00536663461325948	0.00376229769940141	0.00524725632012319	0.00535752780935716	1.42642476540687	0.979417467690718	θW	10	This study
AD	0.00500311281514969	0.00340249263106261	0.00470707205351719	0.00479018953384506	1.47042576065394	0.982648394235635	θW	32	This study
Global	-1.03111424813561	-1.23828277436645	-1.09301704549805	-1.18732992034897	-	-	D_taj	713	This study
Tropical	-0.965051398968826	-1.36568556580271	-1.18474663237721	-1.3455137901233	-	-	D_taj	501	This study
Temperate	-1.72954115304815	-2.00428731238116	-1.62648371223781	-1.85440505719284	-	-	D_taj	28	This study
TH	-0.923091607734543	-1.51938744013797	-1.50341979624139	-1.6987368029417	-	-	D_taj	95	This study
TD1	-0.922418308007199	-1.34157434535449	-1.22073997823808	-1.64813502761754	-	-	D_taj	27	This study
KD	-2.5334127103608	-3.32117853714439	-3.6947579963542	-3.75690273741516	-	-	D_taj	10	This study
AD	-2.04961522100652	-2.29643413806687	-2.48315861876366	-2.84741940303779	-	-	D_taj	32	This study
