[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	1279	12411300	12410016	1279	1285	99.30	15540809	12428108	I	ptg000002l
1	5032	4012954	4007983	5032	4972	98.37	15540809	4022612	I	ptg000011l
1	1279	25813	27098	1279	1286	99.22	15540809	1193113	I	ptg000017l
1585	5032	12410009	12406563	3448	3447	99.59	15540809	12428108	I	ptg000002l
1585	5032	27105	30552	3448	3448	99.62	15540809	1193113	I	ptg000017l
5032	11307	12405706	12399438	6276	6269	99.16	15540809	12428108	I	ptg000002l
5032	11307	4007145	4000878	6276	6268	99.17	15540809	4022612	I	ptg000011l
5032	11307	31390	37664	6276	6275	99.05	15540809	1193113	I	ptg000017l
8394	11307	23817	26730	2914	2914	99.45	15540809	1253616	I	ptg000006l
11307	15429	12399216	12395093	4123	4124	99.66	15540809	12428108	I	ptg000002l
11307	15741	26952	31385	4435	4434	99.64	15540809	1253616	I	ptg000006l
11307	15429	4000656	3996534	4123	4123	99.73	15540809	4022612	I	ptg000011l
11307	15429	37886	42009	4123	4124	99.68	15540809	1193113	I	ptg000017l
11326	14721	16640	20035	3396	3396	99.73	15540809	11404130	I	ptg000005l
11326	14721	44506	47901	3396	3396	99.71	15540809	11404130	I	ptg000005l
26425	28347	81481	83409	1923	1929	99.12	15540809	11404130	I	ptg000005l
29281	30542	2654199	2652938	1262	1262	99.84	15540809	4519276	I	ptg000015l
29285	30542	3049603	3048346	1258	1258	99.84	15540809	4249163	I	ptg000016l
29285	30542	1188245	1189502	1258	1258	99.76	15540809	1241163	I	ptg000022l
29286	30542	12588934	12590190	1257	1257	99.92	15540809	18870760	I	ptg000003l
29286	30542	17261299	17262555	1257	1257	99.92	15540809	18870760	I	ptg000003l
29286	30542	590735	589479	1257	1257	99.92	15540809	8593594	I	ptg000007l
29286	30542	2667774	2669030	1257	1257	99.92	15540809	2784767	I	ptg000013l
29286	30542	994843	993587	1257	1257	99.84	15540809	4249163	I	ptg000016l
29286	30545	641473	642732	1260	1260	99.92	15540809	1193113	I	ptg000017l
29287	30542	1913181	1914436	1256	1256	99.92	15540809	12428108	I	ptg000002l
29287	30542	5510124	5511379	1256	1256	99.84	15540809	12428108	I	ptg000002l
29287	30543	4917336	4918592	1257	1257	99.76	15540809	18870760	I	ptg000003l
29287	30543	5665010	5666266	1257	1257	99.92	15540809	18870760	I	ptg000003l
29287	30543	7933044	7934300	1257	1257	99.84	15540809	18870760	I	ptg000003l
29287	30543	16119693	16120949	1257	1257	99.92	15540809	18870760	I	ptg000003l
29287	30542	4428193	4426938	1256	1256	99.92	15540809	6371260	I	ptg000004l
29287	30543	8164922	8163666	1257	1257	99.84	15540809	8593594	I	ptg000007l
29287	30542	1737583	1736328	1256	1256	99.92	15540809	4249163	I	ptg000016l
29289	30546	8681277	8682534	1258	1258	99.68	15540809	11404130	I	ptg000005l
29289	30546	1840174	1841431	1258	1258	99.84	15540809	2873529	I	ptg000010l
33610	34624	77880	78839	1015	960	88.39	15540809	11404130	I	ptg000005l
34003	35275	34495	35715	1273	1221	88.07	15540809	1253616	I	ptg000006l
34003	35275	242917	244176	1273	1260	92.56	15540809	1253616	I	ptg000006l
34003	35275	18901	20149	1273	1249	90.05	15540809	4519276	I	ptg000015l
34025	35275	15339	16578	1251	1240	92.33	15540809	11404130	I	ptg000005l
34025	35275	38708	39944	1251	1237	92.01	15540809	11404130	I	ptg000005l
34025	35275	40955	42194	1251	1240	92.25	15540809	11404130	I	ptg000005l
34025	35275	43205	44444	1251	1240	92.33	15540809	11404130	I	ptg000005l
34025	35275	66533	67769	1251	1237	92.33	15540809	11404130	I	ptg000005l
34025	35275	68956	70195	1251	1240	92.33	15540809	11404130	I	ptg000005l
34025	35275	71206	72445	1251	1240	92.33	15540809	11404130	I	ptg000005l
34025	35275	22573	23812	1251	1240	93.61	15540809	1253616	I	ptg000006l
34025	35275	32304	33541	1251	1238	90.90	15540809	1253616	I	ptg000006l
34025	35275	43229	44468	1251	1240	92.65	15540809	1193113	I	ptg000017l
34025	35162	600523	599397	1138	1127	92.19	15540809	1193113	I	ptg000017l
34043	35275	5314878	5313705	1233	1174	85.83	15540809	18870760	I	ptg000003l
35367	36370	4238965	4239970	1004	1006	94.15	15540809	4249163	I	ptg000016l
38196	39453	8682534	8681277	1258	1258	99.68	15540809	11404130	I	ptg000005l
38196	39453	1841431	1840174	1258	1258	99.84	15540809	2873529	I	ptg000010l
38200	39457	3048346	3049603	1258	1258	99.84	15540809	4249163	I	ptg000016l
48104	50324	6343972	6341788	2221	2185	90.75	15540809	6371260	I	ptg000004l
48440	50324	16174	18029	1885	1856	90.87	15540809	1253616	I	ptg000006l
50291	52563	33511	35720	2273	2210	90.24	15540809	1253616	I	ptg000006l
50303	52564	44462	46683	2262	2222	90.68	15540809	1193113	I	ptg000017l
50325	52564	37741	39950	2240	2210	93.76	15540809	11404130	I	ptg000005l
50325	52564	39988	42200	2240	2213	93.94	15540809	11404130	I	ptg000005l
50325	52559	42238	44445	2235	2208	93.97	15540809	11404130	I	ptg000005l
50325	52561	65566	67772	2237	2207	93.84	15540809	11404130	I	ptg000005l
50325	52566	70239	72453	2242	2215	93.99	15540809	11404130	I	ptg000005l
50325	52566	21605	23820	2242	2216	93.24	15540809	1253616	I	ptg000006l
50325	52560	241954	244178	2236	2225	93.28	15540809	1253616	I	ptg000006l
50325	52564	42262	44474	2240	2213	94.16	15540809	1193113	I	ptg000017l
50413	52559	14460	16579	2147	2120	93.81	15540809	11404130	I	ptg000005l
50457	52561	31469	33544	2105	2076	92.75	15540809	1253616	I	ptg000006l
50588	52564	68223	70201	1977	1979	94.85	15540809	11404130	I	ptg000005l
50588	52563	601256	599282	1976	1975	94.85	15540809	1193113	I	ptg000017l
50997	52559	18603	20150	1563	1548	90.52	15540809	4519276	I	ptg000015l
51337	52561	5314878	5313702	1225	1177	86.97	15540809	18870760	I	ptg000003l
51353	52564	78296	79479	1212	1184	90.53	15540809	11404130	I	ptg000005l
51474	52564	5313507	5312446	1091	1062	90.12	15540809	18870760	I	ptg000003l
53352	55849	27166	29663	2498	2498	98.56	15540809	18870760	I	ptg000003l
53625	83593	85889	115839	29969	29951	99.33	15540809	11404130	I	ptg000005l
83840	112888	115840	144983	29049	29144	99.15	15540809	11404130	I	ptg000005l
112890	123012	145132	155256	10123	10125	99.53	15540809	11404130	I	ptg000005l
123641	150049	155236	181602	26409	26367	99.39	15540809	11404130	I	ptg000005l
150050	152741	182252	184926	2692	2675	98.00	15540809	11404130	I	ptg000005l
152506	162580	185188	195265	10075	10078	97.14	15540809	11404130	I	ptg000005l
162629	172094	195158	204693	9466	9536	97.79	15540809	11404130	I	ptg000005l
168050	169592	1397542	1399094	1543	1553	94.49	15540809	6016716	I	ptg000014l
168230	169459	11805468	11806688	1230	1221	92.35	15540809	12428108	I	ptg000002l
168230	169459	16146409	16145172	1230	1238	93.08	15540809	18870760	I	ptg000003l
168266	169459	1740136	1738940	1194	1197	95.27	15540809	6016716	I	ptg000014l
172094	188956	204932	221747	16863	16816	98.82	15540809	11404130	I	ptg000005l
188790	196695	221312	229215	7906	7904	98.73	15540809	11404130	I	ptg000005l
190514	191632	17727360	17726234	1119	1127	95.39	15540809	18870760	I	ptg000003l
190713	191738	1232328	1233354	1026	1027	98.05	15540809	8593594	I	ptg000007l
190713	191739	3266890	3267909	1027	1020	97.37	15540809	7122494	I	ptg000009l
190713	191738	3359084	3358060	1026	1025	96.41	15540809	7122494	I	ptg000009l
190713	191743	640222	641255	1031	1034	97.20	15540809	4249163	I	ptg000016l
190713	191738	1677147	1676150	1026	998	94.93	15540809	4933180	I	ptg000018l
190714	191738	10897927	10896904	1025	1024	97.37	15540809	18870760	I	ptg000003l
190714	191738	4073943	4074966	1025	1024	98.63	15540809	6016716	I	ptg000014l
190714	191739	862143	863170	1026	1028	97.28	15540809	4933180	I	ptg000018l
190714	191739	1026775	1027802	1026	1028	97.28	15540809	4933180	I	ptg000018l
197056	198862	229216	230922	1807	1707	90.72	15540809	11404130	I	ptg000005l
198481	199702	6175624	6176846	1222	1223	91.51	15540809	18870760	I	ptg000003l
198724	203850	229940	235011	5127	5072	95.41	15540809	11404130	I	ptg000005l
203458	218864	234848	250307	15407	15460	98.43	15540809	11404130	I	ptg000005l
218004	219502	249656	251155	1499	1500	89.65	15540809	11404130	I	ptg000005l
218004	220846	250313	253092	2843	2780	92.86	15540809	11404130	I	ptg000005l
220642	236218	252779	268338	15577	15560	98.19	15540809	11404130	I	ptg000005l
236690	238317	5046467	5044840	1628	1628	99.69	15540809	11404130	I	ptg000005l
236691	238315	874998	873376	1625	1623	99.69	15540809	2784767	I	ptg000013l
236692	238316	9388573	9386949	1625	1625	99.69	15540809	12428108	I	ptg000002l
236693	238315	524254	525875	1623	1622	99.14	15540809	18870760	I	ptg000003l
236693	238315	64460	66082	1623	1623	99.75	15540809	1253616	I	ptg000006l
236693	238315	1986090	1987712	1623	1623	99.69	15540809	4933180	I	ptg000018l
236694	238316	6218530	6216910	1623	1621	99.63	15540809	18870760	I	ptg000003l
236695	238316	1667641	1669262	1622	1622	99.82	15540809	12428108	I	ptg000002l
236695	238317	8840901	8839283	1623	1619	99.69	15540809	12428108	I	ptg000002l
