,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.001349284205682985,0.0019503997134112017,-0.9656283832923303,194000,4883
1,I,left_arm,0.0035140593049985502,0.0036315632460018977,-0.1015110498030126,1789500,61674
2,I,center,0.0016711274742841997,0.001861175882140749,-0.32037303742219264,7199500,96611
3,I,right_arm,0.004244303964639033,0.004803669772180651,-0.36534299340527127,13089000,111156
4,I,right_tip,0.0022711036763296156,0.0027657890867584275,-0.5608546504092363,15255500,10448
5,I,full,0.0025167279311068894,0.0027957029074428532,-0.3130906876167557,7770500,284772
6,II,left_tip,0.003538165422856612,0.0033627717642503614,0.16356785789757378,283000,12170
7,II,left_arm,0.004050519297200062,0.0040794473488038495,-0.022247358034617734,1988000,68729
8,II,center,0.0026879424301591097,0.0029374578149856173,-0.26651293922485136,8699000,199008
9,II,right_arm,0.003361667988447323,0.004285149074918883,-0.6761151511004165,15279500,63392
10,II,right_tip,0.0016475873085593604,0.0015615852726972204,0.16812673794917588,16583000,226
11,II,full,0.003007140232561495,0.0032986578049692293,-0.27728439226759855,8297500,343525
12,III,left_tip,0.0025368461008999873,0.003028005044041438,-0.5087128059251138,358000,14444
13,III,left_arm,0.004415136560208434,0.004703796276257468,-0.19253439403094796,2340500,95930
14,III,center,0.0018640642051046406,0.002081243350702003,-0.3273981058358887,7894500,105302
15,III,right_arm,0.004311817844937707,0.004473796139909109,-0.11358722386259883,12909500,61330
16,III,right_tip,0.0020663596589905915,0.0031598875306530724,-1.0854127441252202,14403000,16686
17,III,full,0.002675627932901486,0.0029639101122662863,-0.3051747309982341,7405500,293692
18,IV,left_tip,0.0029707568442765104,0.0033661996520078525,-0.3684458486926566,351000,14686
19,IV,left_arm,0.0038827306659802614,0.0041121961241343446,-0.17507313634192256,2475000,90521
20,IV,center,0.002185541899309752,0.0025745586918583074,-0.4740831559623884,8845000,151823
21,IV,right_arm,0.004940525613576053,0.005346101151040615,-0.23801574065675435,14904000,93103
22,IV,right_tip,0.0032941554615413884,0.003813642800293484,-0.42725422844683303,16723000,17685
23,IV,full,0.0029885179848341396,0.003352977614860591,-0.3410494904846196,8540000,367818
24,V,left_tip,0.003145843615856484,0.0032731543819396105,-0.12196939279809649,234500,9552
25,V,left_arm,0.003874794310790936,0.0038425909638834465,0.02629435038619988,3265500,131548
26,V,center,0.00238926062338661,0.0025506115591368657,-0.19848004336619413,10778500,153704
27,V,right_arm,0.004229775832228804,0.004383789770492194,-0.11022736589625613,17521000,104499
28,V,right_tip,0.001954958132926902,0.0028811177899578386,-1.0078035322726753,19740000,6970
29,V,full,0.0031293035527155864,0.0032523395144245294,-0.11869593950731587,9966500,406274
30,X,left_tip,0.0021782089648429695,0.0027608575507435578,-0.6620275938691058,722000,25320
31,X,left_arm,0.0038568216186582703,0.0036449683767832064,0.18235945552806246,4255000,130520
32,X,center,0.002413393438864266,0.0027501431010255053,-0.38418948191777924,12794000,195550
33,X,right_arm,0.003409346018983858,0.0034024751280000614,0.00633565228109446,20341500,78212
34,X,right_tip,0.000421497103880773,0.00033630723975350204,0.7592267066642059,22191000,207
35,X,full,0.0029175336904471525,0.0030762382951596006,-0.16187134275138274,11110500,429809
