[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	5032	1739361	1734325	5032	5037	99.82	15540809	1793118	I	ptg000036l
1091	3700	247919	250528	2610	2610	100.00	15540809	250528	I	ptg000042l
1091	3724	2753	120	2634	2634	100.00	15540809	50411	I	ptg000053l
1091	3724	19535	22168	2634	2634	100.00	15540809	50411	I	ptg000053l
1091	5032	26535	30476	3942	3942	99.95	15540809	50411	I	ptg000053l
1091	5032	35527	39468	3942	3942	99.95	15540809	50411	I	ptg000053l
1091	3724	42570	39937	2634	2634	100.00	15540809	50411	I	ptg000053l
1091	5032	7806	3865	3942	3942	99.95	15540809	19721	I	ptg000057l
1222	5032	247831	244021	3811	3811	99.95	15540809	250528	I	ptg000042l
1222	5032	2841	6651	3811	3811	99.95	15540809	50411	I	ptg000053l
1222	5032	26447	22637	3811	3811	99.95	15540809	50411	I	ptg000053l
1222	4360	35439	32301	3139	3139	100.00	15540809	50411	I	ptg000053l
1222	5032	42658	46468	3811	3811	99.95	15540809	50411	I	ptg000053l
1222	5032	7894	11704	3811	3811	99.95	15540809	19721	I	ptg000057l
1583	4360	16306	13529	2778	2778	100.00	15540809	19721	I	ptg000057l
2321	4360	1	2040	2040	2040	100.00	15540809	19721	I	ptg000057l
5027	11307	3792	10061	6281	6270	99.35	15540809	102993	I	ptg000041l
5032	15888	1733449	1722595	10857	10855	99.66	15540809	1793118	I	ptg000036l
5032	15769	243145	232405	10738	10741	99.81	15540809	250528	I	ptg000042l
5032	15891	7527	18381	10860	10855	99.75	15540809	50411	I	ptg000053l
9665	11307	3474822	3473180	1643	1643	99.39	15540809	3479297	I	ptg000038l
11070	15523	7710	12163	4454	4454	99.91	15540809	3868335	I	ptg000025l
11307	15765	3472958	3468500	4459	4459	99.64	15540809	3479297	I	ptg000038l
11307	15756	10283	14733	4450	4451	99.66	15540809	102993	I	ptg000041l
15888	17972	10661	8579	2085	2083	99.71	15540809	3758054	I	ptg000012l
15888	17972	1779299	1781381	2085	2083	99.76	15540809	1793118	I	ptg000036l
15888	16932	1783352	1784394	1045	1043	99.71	15540809	1793118	I	ptg000036l
15888	17972	1790554	1792636	2085	2083	99.76	15540809	1793118	I	ptg000036l
15888	17809	24998	23079	1922	1920	99.74	15540809	29599	I	ptg000048l
15888	17972	26625	28707	2085	2083	99.76	15540809	29599	I	ptg000048l
17986	28732	1783955	1773208	10747	10748	99.81	15540809	1793118	I	ptg000036l
17986	19751	24395	26158	1766	1764	99.89	15540809	29599	I	ptg000048l
18569	28727	6583	16752	10159	10170	99.66	15540809	3758054	I	ptg000012l
19670	23108	29599	26162	3439	3438	99.71	15540809	29599	I	ptg000048l
20080	28732	1793118	1784463	8653	8656	99.79	15540809	1793118	I	ptg000036l
20725	23295	23079	25648	2571	2570	99.65	15540809	29599	I	ptg000048l
29285	30542	2606118	2607375	1258	1258	99.60	15540809	7010470	I	ptg000007l
29285	30544	261503	262762	1260	1260	99.84	15540809	347131	I	ptg000016l
29286	30552	4448750	4447484	1267	1267	99.68	15540809	8677511	I	ptg000003l
29286	30542	2561781	2563037	1257	1257	99.84	15540809	7823986	I	ptg000006l
29286	30544	222811	224069	1259	1259	99.84	15540809	7010470	I	ptg000007l
29286	30542	6461575	6462831	1257	1257	99.68	15540809	7010470	I	ptg000007l
29286	30543	460723	461980	1258	1258	99.60	15540809	4426054	I	ptg000010l
29286	30543	2354680	2353423	1258	1258	99.76	15540809	2771216	I	ptg000014l
29286	30542	902115	900859	1257	1257	99.84	15540809	3309962	I	ptg000019l
29286	30542	2309093	2310349	1257	1257	99.84	15540809	2869530	I	ptg000023l
29286	30542	83135	81879	1257	1257	100.00	15540809	1466003	I	ptg000027l
29286	30542	943396	944652	1257	1257	99.76	15540809	1116457	I	ptg000028l
29287	30546	1703487	1704746	1260	1260	99.68	15540809	5103481	I	ptg000001l
29287	30542	3380031	3381286	1256	1256	99.76	15540809	4997771	I	ptg000004l
29287	30542	1033048	1034303	1256	1256	99.76	15540809	4336492	I	ptg000005l
29287	30542	3782944	3781689	1256	1256	99.84	15540809	4336492	I	ptg000005l
29287	30543	3347053	3348309	1257	1257	99.76	15540809	7010470	I	ptg000007l
29287	30543	4203579	4202323	1257	1257	99.76	15540809	7010470	I	ptg000007l
29287	30542	889169	890424	1256	1256	99.84	15540809	2771216	I	ptg000014l
29287	30542	187115	188370	1256	1256	99.84	15540809	731409	I	ptg000040l
29289	30546	88406	89663	1258	1258	99.84	15540809	5103481	I	ptg000001l
29289	30547	3732767	3731509	1259	1259	99.76	15540809	4426054	I	ptg000010l
29289	30546	1430524	1429267	1258	1258	99.68	15540809	2869530	I	ptg000023l
