[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	5032	5216	10253	5032	5038	99.84	15540809	4112307	I	ptg000015l
5027	15751	5935955	5925228	10725	10728	99.82	15540809	5937274	I	ptg000005l
5032	15786	11129	21886	10755	10758	99.86	15540809	4112307	I	ptg000015l
9174	15888	4730	11443	6715	6714	99.54	15540809	7109073	I	ptg000001l
9174	15761	32024	38612	6588	6589	99.88	15540809	2516234	I	ptg000018l
9174	15773	9589	16188	6600	6600	99.89	15540809	61441	I	ptg000042l
15888	17972	10097440	10099523	2085	2084	99.86	15540809	10109279	I	ptg000004l
15888	17849	10103415	10105373	1962	1959	99.75	15540809	10109279	I	ptg000004l
15888	17972	4509	6588	2085	2080	99.66	15540809	2516234	I	ptg000018l
15888	17972	10169	8088	2085	2082	99.76	15540809	2516234	I	ptg000018l
15888	17972	19714	21794	2085	2081	99.71	15540809	2516234	I	ptg000018l
15888	17972	25375	23294	2085	2082	99.76	15540809	2516234	I	ptg000018l
16047	17290	10391	9148	1244	1244	100.00	15540809	4283092	I	ptg000027l
18569	28664	10101519	10091415	10096	10105	99.78	15540809	10109279	I	ptg000004l
19595	27019	7121	14548	7425	7428	99.85	15540809	2516234	I	ptg000018l
19595	28670	22327	31407	9076	9081	99.86	15540809	2516234	I	ptg000018l
20030	24048	7120	3100	4019	4021	99.80	15540809	2516234	I	ptg000018l
20030	27794	22326	14559	7765	7768	99.86	15540809	2516234	I	ptg000018l
20685	23106	10105373	10102953	2422	2421	99.63	15540809	10109279	I	ptg000004l
29286	30546	6399199	6397939	1261	1261	99.76	15540809	10109279	I	ptg000004l
29286	30542	81885	80629	1257	1257	100.00	15540809	695671	I	ptg000025l
29286	30542	943706	944962	1257	1257	99.76	15540809	2019397	I	ptg000033l
29287	30544	2451176	2449919	1258	1258	99.76	15540809	5748833	I	ptg000006l
29287	30542	3657518	3658773	1256	1256	99.92	15540809	5748833	I	ptg000006l
29287	30542	1161899	1163154	1256	1256	99.84	15540809	4283092	I	ptg000027l
33983	35275	4620841	4622112	1293	1272	90.61	15540809	8109100	I	ptg000019l
34003	35275	8356	7085	1273	1272	98.35	15540809	4283092	I	ptg000027l
34003	35275	11933	13204	1273	1272	98.35	15540809	4283092	I	ptg000027l
38199	39453	6469078	6470332	1255	1255	100.00	15540809	7109073	I	ptg000001l
50405	52564	4619887	4622118	2160	2232	90.00	15540809	8109100	I	ptg000019l
50672	52564	8999	7079	1893	1921	94.91	15540809	4283092	I	ptg000027l
50672	52564	11290	13210	1893	1921	94.91	15540809	4283092	I	ptg000027l
52550	64981	6982879	6970445	12432	12435	99.92	15540809	6988905	I	ptg000012l
65136	152741	6970447	6882857	87606	87591	99.87	15540809	6988905	I	ptg000012l
152506	156217	6883035	6879319	3712	3717	99.68	15540809	6988905	I	ptg000012l
156255	172094	6879337	6863421	15840	15917	99.11	15540809	6988905	I	ptg000012l
168050	169689	2431472	2433123	1640	1652	93.37	15540809	4112307	I	ptg000015l
168230	169459	6190316	6189079	1230	1238	92.04	15540809	10109279	I	ptg000004l
168230	169459	615980	614752	1230	1229	92.91	15540809	2516234	I	ptg000018l
172094	198330	6863078	6836849	26237	26230	99.46	15540809	6988905	I	ptg000012l
190713	191738	5818304	5817278	1026	1027	97.28	15540809	10109279	I	ptg000004l
190714	191738	5758151	5757128	1025	1024	97.85	15540809	7109073	I	ptg000001l
190714	191739	5228201	5227175	1026	1027	96.79	15540809	8109100	I	ptg000019l
190714	191738	450220	449199	1025	1022	98.44	15540809	695671	I	ptg000025l
197786	229125	6837106	6805730	31340	31377	99.23	15540809	6988905	I	ptg000012l
197789	199195	6836551	6835158	1407	1394	90.25	15540809	6988905	I	ptg000012l
197963	199702	6837431	6835700	1740	1732	91.84	15540809	6988905	I	ptg000012l
228966	267440	6805784	6767309	38475	38476	99.17	15540809	6988905	I	ptg000012l
236693	238316	3755708	3754085	1624	1624	99.63	15540809	4283092	I	ptg000027l
236694	238316	1440053	1441674	1623	1622	99.75	15540809	7031174	I	ptg000013l
236695	238317	2877822	2876200	1623	1623	99.75	15540809	3186194	I	ptg000021l
236696	238317	6108753	6110376	1622	1624	99.57	15540809	10109279	I	ptg000004l
236696	238315	6409782	6411401	1620	1620	99.94	15540809	10109279	I	ptg000004l
262573	266009	1183647	1180221	3437	3427	93.55	15540809	4283092	I	ptg000027l
262575	267523	2082828	2077901	4949	4928	93.80	15540809	5829698	I	ptg000010l
262575	267523	3647433	3652493	4949	5061	92.19	15540809	5829698	I	ptg000010l
262575	264914	6768072	6765741	2340	2332	95.78	15540809	6988905	I	ptg000012l
262575	321800	6770679	6711402	59226	59278	99.35	15540809	6988905	I	ptg000012l
262644	265541	820884	823777	2898	2894	97.35	15540809	4283092	I	ptg000027l
263135	265761	3680375	3677758	2627	2618	96.69	15540809	5748833	I	ptg000006l
263572	266011	1728090	1730522	2440	2433	96.52	15540809	5829698	I	ptg000010l
263728	265737	4567535	4569538	2010	2004	97.91	15540809	5829698	I	ptg000010l
264487	267504	2514236	2511226	3018	3011	78.71	15540809	5829698	I	ptg000010l
264696	267135	1728090	1730522	2440	2433	96.52	15540809	5829698	I	ptg000010l
265203	267520	2843621	2845929	2318	2309	94.91	15540809	4112307	I	ptg000015l
265460	267523	4292082	4294129	2064	2048	93.46	15540809	5748833	I	ptg000006l
265596	267205	8805908	8804305	1610	1604	95.03	15540809	10109279	I	ptg000004l
297469	298790	4042160	4043488	1322	1329	94.47	15540809	5829698	I	ptg000010l
297469	298851	6688003	6689445	1383	1443	94.53	15540809	6988905	I	ptg000012l
311655	354283	6721551	6678987	42629	42565	99.64	15540809	6988905	I	ptg000012l
343841	345263	6734355	6735797	1423	1443	97.30	15540809	6988905	I	ptg000012l
343902	345264	4538678	4537333	1363	1346	91.09	15540809	5748833	I	ptg000006l
353975	414056	6679374	6619317	60082	60058	99.85	15540809	6988905	I	ptg000012l
413479	421989	6619530	6611019	8511	8512	99.51	15540809	6988905	I	ptg000012l
421645	456754	6612111	6576916	35110	35196	99.38	15540809	6988905	I	ptg000012l
428220	429245	3545823	3544796	1026	1028	96.50	15540809	5748833	I	ptg000006l
454779	458552	1064919	1061147	3774	3773	91.23	15540809	4283092	I	ptg000027l
454779	458556	1068431	1064656	3778	3776	91.11	15540809	4283092	I	ptg000027l
454787	458098	1054335	1051024	3312	3312	90.88	15540809	4283092	I	ptg000027l
454787	458552	1056975	1053203	3766	3773	91.02	15540809	4283092	I	ptg000027l
454787	458589	1062239	1058448	3803	3792	90.96	15540809	4283092	I	ptg000027l
454787	458552	1071279	1067515	3766	3765	91.26	15540809	4283092	I	ptg000027l
454787	458540	1077295	1073542	3754	3754	91.28	15540809	4283092	I	ptg000027l
