[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
29286	30542	15626118	15627374	1257	1257	99.76	15540809	17794973	I	ptg000001l
29287	30547	4557060	4558320	1261	1261	99.68	15540809	5852467	I	ptg000015l
32372	33380	18589	19594	1009	1006	99.31	15540809	4047664	I	ptg000016l
33993	35275	3982	2750	1283	1233	86.63	15540809	6505963	I	ptg000013l
33993	35275	5145	6377	1283	1233	86.63	15540809	6505963	I	ptg000013l
35267	36370	19691	18589	1104	1103	99.37	15540809	4047664	I	ptg000016l
35267	36370	22616	21544	1104	1073	91.52	15540809	1199386	I	ptg000032l
35272	36370	10134342	10133256	1099	1087	89.53	15540809	10712713	I	ptg000025l
39453	40460	10176	11217	1008	1042	92.81	15540809	4047664	I	ptg000016l
39453	40460	10124486	10125527	1008	1042	93.10	15540809	10712713	I	ptg000025l
39453	40459	12999	14037	1007	1039	93.27	15540809	1199386	I	ptg000032l
40697	41739	4690	5732	1043	1043	90.53	15540809	7712767	I	ptg000011l
40697	41965	19700	20967	1269	1268	92.31	15540809	4047664	I	ptg000016l
40697	41965	15657	16927	1269	1271	92.00	15540809	2602271	I	ptg000024l
43520	46059	18431	20967	2540	2537	94.97	15540809	4047664	I	ptg000016l
44776	45833	4673	5732	1058	1060	89.64	15540809	7712767	I	ptg000011l
44776	46059	15640	16927	1284	1288	90.33	15540809	2602271	I	ptg000024l
44931	46059	20032	21161	1129	1130	91.89	15540809	3885932	I	ptg000004l
47614	50324	18431	21140	2711	2710	95.33	15540809	4047664	I	ptg000016l
47614	50324	21386	24066	2711	2681	92.06	15540809	1199386	I	ptg000032l
48870	50323	7216	8674	1454	1459	87.82	15540809	17794973	I	ptg000001l
48870	50324	7340279	7338822	1455	1458	91.31	15540809	7351836	I	ptg000003l
48870	49899	2437	3468	1030	1032	89.48	15540809	7712767	I	ptg000011l
48870	49899	4673	5705	1030	1033	90.53	15540809	7712767	I	ptg000011l
48870	50324	15640	17100	1455	1461	91.59	15540809	2602271	I	ptg000024l
48870	50324	27679	29137	1455	1459	91.24	15540809	1199386	I	ptg000032l
49022	50323	10134345	10135649	1302	1305	88.60	15540809	10712713	I	ptg000025l
49025	50324	20032	21334	1300	1303	87.67	15540809	3885932	I	ptg000004l
50313	52569	5013240	5015440	2257	2201	90.42	15540809	5231895	I	ptg000012l
50325	52561	4168	6380	2237	2213	91.01	15540809	6505963	I	ptg000013l
50325	52567	4168	6427	2243	2260	88.05	15540809	6505963	I	ptg000013l
50882	52561	4387	2747	1680	1641	89.28	15540809	6505963	I	ptg000013l
50882	52567	4387	2700	1686	1688	85.41	15540809	6505963	I	ptg000013l
53352	55855	51767	54270	2504	2504	98.41	15540809	1695529	I	ptg000017l
53646	60663	18764	25853	7018	7090	97.48	15540809	7712767	I	ptg000011l
60777	63610	26390	29178	2834	2789	96.94	15540809	7712767	I	ptg000011l
63918	85081	30424	51678	21164	21255	97.36	15540809	7712767	I	ptg000011l
86818	90805	51990	56031	3988	4042	96.55	15540809	7712767	I	ptg000011l
90959	94941	56184	60203	3983	4020	95.02	15540809	7712767	I	ptg000011l
95128	98360	60205	63437	3233	3233	96.89	15540809	7712767	I	ptg000011l
100148	105460	65522	70848	5313	5327	97.27	15540809	7712767	I	ptg000011l
105621	109275	70850	74533	3655	3684	97.40	15540809	7712767	I	ptg000011l
111842	112888	75779	76802	1047	1024	96.10	15540809	7712767	I	ptg000011l
112890	121998	76951	86093	9109	9143	96.38	15540809	7712767	I	ptg000011l
121993	123105	86261	87340	1113	1080	93.94	15540809	7712767	I	ptg000011l
