,chrom,x,window_start,window_stop,stat_type,stat
0,I,5000.5,1,10000,theta,2.2473844598309405e-05
1,I,15000.5,10001,20000,theta,6.111465389405285e-05
2,I,25000.5,20001,30000,theta,2.0346004363585995e-05
3,I,35000.5,30001,40000,theta,2.2834965488523855e-05
4,I,45000.5,40001,50000,theta,7.92634771522257e-05
5,I,55000.5,50001,60000,theta,0.00042585506534194853
6,I,65000.5,60001,70000,theta,0.0009980737308022268
7,I,75000.5,70001,80000,theta,0.000743331526904821
8,I,85000.5,80001,90000,theta,0.0010598151953715921
9,I,95000.5,90001,100000,theta,0.0007055722967691026
10,I,105000.5,100001,110000,theta,0.0008208146277986077
11,I,115000.5,110001,120000,theta,0.0006058845925990281
12,I,125000.5,120001,130000,theta,0.0006541578677904618
13,I,135000.5,130001,140000,theta,0.0005641906681208832
14,I,145000.5,140001,150000,theta,0.0005512070282085295
15,I,155000.5,150001,160000,theta,0.0010759801123370286
16,I,165000.5,160001,170000,theta,0.000934458890462251
17,I,175000.5,170001,180000,theta,0.0006603226346568962
18,I,185000.5,180001,190000,theta,0.0006943102847484838
19,I,195000.5,190001,200000,theta,0.0007695293112851951
20,I,205000.5,200001,210000,theta,0.0007320458291938807
21,I,215000.5,210001,220000,theta,0.0007732804019883365
22,I,225000.5,220001,230000,theta,0.0006227178867051033
23,I,235000.5,230001,240000,theta,0.0005211506620664882
24,I,245000.5,240001,250000,theta,0.0007917063405884989
25,I,255000.5,250001,260000,theta,0.0008801344416534035
26,I,265000.5,260001,270000,theta,0.0011636135260610044
27,I,275000.5,270001,280000,theta,0.0007043222220166987
28,I,285000.5,280001,290000,theta,0.0004970408878099422
29,I,295000.5,290001,300000,theta,0.0006849492365521626
30,I,305000.5,300001,310000,theta,0.0007931333735532288
31,I,315000.5,310001,320000,theta,0.0007016271944872877
32,I,325000.5,320001,330000,theta,0.0006550654672821681
33,I,335000.5,330001,340000,theta,0.0007147471767547566
34,I,345000.5,340001,350000,theta,0.0008835476368135302
35,I,355000.5,350001,360000,theta,0.0006860682230996042
36,I,365000.5,360001,370000,theta,0.0006703847888269304
37,I,375000.5,370001,380000,theta,0.0004943746472119457
38,I,385000.5,380001,390000,theta,0.00047302915348488607
39,I,395000.5,390001,400000,theta,0.0006812933013711223
40,I,405000.5,400001,410000,theta,0.0006678475430679005
