[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	5032	22972	28009	5032	5038	99.84	15540809	4341342	I	ptg000008l
1	5032	46296	51333	5032	5038	99.84	15540809	139879	I	ptg000015l
1	5032	122775	127812	5032	5038	99.84	15540809	139879	I	ptg000015l
1	5032	820258	815221	5032	5038	99.84	15540809	927056	I	ptg000017l
5027	15761	2487	13224	10735	10738	99.88	15540809	139879	I	ptg000015l
5032	15759	28885	39615	10728	10731	99.88	15540809	4341342	I	ptg000008l
5032	15867	52209	63041	10836	10833	99.82	15540809	139879	I	ptg000015l
5032	15867	128688	139520	10836	10833	99.82	15540809	139879	I	ptg000015l
5032	15741	814345	803633	10710	10713	99.88	15540809	927056	I	ptg000017l
15888	17972	19202452	19204532	2085	2081	99.23	15540809	19265321	I	ptg000009l
15888	17972	2766374	2768454	2085	2081	99.23	15540809	2817199	I	ptg000011l
15888	17972	115033	112953	2085	2081	99.23	15540809	139879	I	ptg000015l
18569	28732	19206530	19196400	10164	10131	98.75	15540809	19265321	I	ptg000009l
18569	28732	2770452	2760322	10164	10131	98.74	15540809	2817199	I	ptg000011l
18569	28732	110955	121084	10164	10130	98.76	15540809	139879	I	ptg000015l
27181	28679	10596404	10594905	1499	1500	99.40	15540809	10617551	I	ptg000005l
29283	30542	8731493	8732752	1260	1260	99.84	15540809	17427854	I	ptg000004l
29283	30542	2137884	2136625	1260	1260	99.76	15540809	2817199	I	ptg000011l
29284	30545	1591563	1592824	1262	1262	99.92	15540809	6682048	I	ptg000002l
29284	30542	6949793	6948542	1259	1252	99.05	15540809	19265321	I	ptg000009l
29286	30542	3003081	3004337	1257	1257	99.92	15540809	10617551	I	ptg000005l
29286	30542	3542250	3543506	1257	1257	99.92	15540809	8489194	I	ptg000006l
29286	30542	2353806	2352550	1257	1257	99.92	15540809	19265321	I	ptg000009l
29287	30542	6445262	6446517	1256	1256	99.92	15540809	12678540	I	ptg000001l
29287	30542	11973780	11975035	1256	1256	99.92	15540809	19265321	I	ptg000009l
29287	30542	5934943	5933688	1256	1256	99.84	15540809	9007816	I	ptg000010l
29287	30542	2322464	2323718	1256	1255	99.68	15540809	2817199	I	ptg000011l
30541	32370	8967132	8968961	1830	1830	99.78	15540809	9007816	I	ptg000010l
34003	35275	8963468	8962209	1273	1260	91.69	15540809	9007816	I	ptg000010l
34023	35275	3456794	3455574	1253	1221	90.79	15540809	8489194	I	ptg000006l
34023	35272	2753366	2754614	1250	1249	93.70	15540809	2817199	I	ptg000011l
35267	36370	5671	4611	1104	1061	95.20	15540809	17427854	I	ptg000004l
35267	36370	21217	20157	1104	1061	95.20	15540809	17427854	I	ptg000004l
35267	36370	68065	67007	1104	1059	94.93	15540809	4341342	I	ptg000008l
35267	36370	19236726	19237786	1104	1061	95.20	15540809	19265321	I	ptg000009l
35267	36370	52122	51064	1104	1059	94.93	15540809	2178205	I	ptg000012l
35267	36370	485944	484884	1104	1061	95.20	15540809	573214	I	ptg000013l
35267	36370	528880	529940	1104	1061	95.20	15540809	573214	I	ptg000013l
35267	36370	546400	547460	1104	1061	95.20	15540809	573214	I	ptg000013l
35267	36370	561835	562895	1104	1061	95.20	15540809	573214	I	ptg000013l
35267	36370	38106	37048	1104	1059	94.93	15540809	139879	I	ptg000015l
35267	36370	13528	14588	1104	1061	95.20	15540809	43324	I	ptg000020l
35272	36370	2757371	2758428	1099	1058	95.10	15540809	2817199	I	ptg000011l
36372	38201	8968961	8967132	1830	1830	99.73	15540809	9007816	I	ptg000010l
38197	39458	1592824	1591563	1262	1262	99.92	15540809	6682048	I	ptg000002l
38200	39458	6948542	6949793	1259	1252	99.05	15540809	19265321	I	ptg000009l
38200	39459	2136625	2137884	1260	1260	99.76	15540809	2817199	I	ptg000011l
39451	40459	58620	59660	1009	1041	92.62	15540809	4341342	I	ptg000008l
39451	41401	8967134	8965161	1951	1974	96.26	15540809	9007816	I	ptg000010l
39453	40459	42679	43717	1007	1039	92.60	15540809	2178205	I	ptg000012l
39453	40459	28663	29701	1007	1039	92.60	15540809	139879	I	ptg000015l
43520	46059	4453	6947	2540	2495	94.03	15540809	17427854	I	ptg000004l
43520	46059	19999	22493	2540	2495	94.03	15540809	17427854	I	ptg000004l
43520	46059	66849	69342	2540	2494	93.91	15540809	4341342	I	ptg000008l
43520	46059	50906	53399	2540	2494	93.91	15540809	2178205	I	ptg000012l
43520	46059	547618	545124	2540	2495	94.03	15540809	573214	I	ptg000013l
43520	46059	563053	560559	2540	2495	94.03	15540809	573214	I	ptg000013l
43520	46059	36890	39383	2540	2494	93.91	15540809	139879	I	ptg000015l
44564	46113	709	2255	1550	1547	95.76	15540809	17427854	I	ptg000004l
44564	46113	16255	17801	1550	1547	95.76	15540809	17427854	I	ptg000004l
