[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	5032	11231	16268	5032	5038	99.82	15540809	1241584	I	ptg000022l
1	5032	4667	9703	5032	5037	99.86	15540809	633283	I	ptg000041l
1	5032	6129	11165	5032	5037	99.84	15540809	42765	I	ptg000057l
2617	5032	2472220	2474635	2416	2416	99.63	15540809	2488478	I	ptg000008l
2617	4298	2476742	2475060	1682	1683	99.64	15540809	2488478	I	ptg000008l
5032	15753	10579	21303	10722	10725	99.89	15540809	633283	I	ptg000041l
5032	15891	12041	22909	10860	10869	99.81	15540809	42765	I	ptg000057l
8265	13417	2469359	2464206	5153	5154	99.53	15540809	2488478	I	ptg000008l
8265	9365	2479604	2480704	1101	1101	99.18	15540809	2488478	I	ptg000008l
9021	15777	21073	27830	6757	6758	99.85	15540809	1241584	I	ptg000022l
11842	14669	2433442	2430615	2828	2828	99.82	15540809	2488478	I	ptg000008l
15888	17290	30805	32205	1403	1401	99.86	15540809	1241584	I	ptg000022l
15888	17940	34256	32208	2053	2049	99.32	15540809	1241584	I	ptg000022l
15888	17290	830831	829427	1403	1405	99.86	15540809	849839	I	ptg000064l
20594	23027	32208	34640	2434	2433	98.77	15540809	1241584	I	ptg000022l
21244	25220	829427	833414	3977	3988	99.60	15540809	849839	I	ptg000064l
29285	30546	1552134	1550873	1262	1262	99.68	15540809	4155513	I	ptg000011l
29285	30544	1357730	1358989	1260	1260	99.60	15540809	2076663	I	ptg000016l
29285	30542	2428121	2426864	1258	1258	99.76	15540809	2602682	I	ptg000034l
29286	30546	4131808	4130548	1261	1261	99.68	15540809	5430773	I	ptg000017l
29286	30542	4143574	4144830	1257	1257	99.84	15540809	5430773	I	ptg000017l
29286	30543	820180	821437	1258	1258	99.84	15540809	1241584	I	ptg000022l
29286	30542	310173	308917	1257	1257	99.92	15540809	1912516	I	ptg000023l
29286	30542	173272	172016	1257	1257	99.76	15540809	1116127	I	ptg000029l
29286	30542	702217	703473	1257	1257	99.84	15540809	2062661	I	ptg000033l
33983	35275	36238	37530	1293	1293	98.22	15540809	1241584	I	ptg000022l
34003	35275	769010	770283	1273	1274	98.04	15540809	779624	I	ptg000030l
34003	35275	772467	773740	1273	1274	98.04	15540809	779624	I	ptg000030l
34003	35275	22269	23529	1273	1261	88.96	15540809	633283	I	ptg000041l
